Historical_DX_ID,Historical_PX_ID,Episode_Type,Age_Group,Gender,Source_Code,Currency_Code,Patient_Count,Total_Bill_Amount
-4297334731691023433,69275896939527291,OP,49-64,F,KPJ,RM,292,626625.0000000005
-4297334731691023433,69275896939527291,OP,34-48,M,KPJ,RM,233,326682.7500000002
-4297334731691023433,69275896939527291,OP,49-64,M,KPJ,RM,214,508265.15
-4297334731691023433,69275896939527291,OP,34-48,F,KPJ,RM,197,292644.0900000001
-4297334731691023433,69275896939527291,OP,19-33,M,KPJ,RM,149,153810.39999999994
-4297334731691023433,69275896939527291,OP,19-33,F,KPJ,RM,94,89394.67999999998
-4297334731691023433,69275896939527291,OP,65-78,F,KPJ,RM,88,233604.45
6963531762191349518,5053715707469957507,IP,49-64,F,KPJ,RM,83,934230.0999999999
-4297334731691023433,4074833484965539161,IP,19-33,M,KPJ,RM,82,768339.8999999998
-4297334731691023433,5053715707469957507,OP,19-33,M,KPJ,RM,71,141898.3
607033468150506309,2454985304141717577,IP,19-33,M,KPJ,RM,66,1197992.2
4444044698744369319,5053715707469957507,IP,49-64,F,KPJ,RM,62,508348.30000000005
-4297334731691023433,3909308648118648264,OP,19-33,M,KPJ,RM,62,26643.500000000007
-4297334731691023433,5053715707469957507,OP,34-48,M,KPJ,RM,58,117967.99999999999
-4297334731691023433,4074833484965539161,IP,34-48,M,KPJ,RM,56,509172.54999999993
-4297334731691023433,2454985304141717577,IP,19-33,M,KPJ,RM,56,1291115.5499999998
-4297334731691023433,69275896939527291,OP,65-78,M,KPJ,RM,53,131496.36000000002
-5702215334154323660,69275896939527291,DP,49-64,F,KPJ,RM,53,310516.70000000007
-8019000010899910018,-3800066422014271228,IP,65-78,F,KPJ,RM,52,1423495.6500000001
-4297334731691023433,2454985304141717577,IP,34-48,M,KPJ,RM,51,1141126.0000000002
-4879096931856976713,6601097132759056815,IP,49-64,F,KPJ,RM,49,413824.0999999999
-4297334731691023433,3909308648118648264,OP,34-48,M,KPJ,RM,48,26633.7
-4297334731691023433,5053715707469957507,OP,49-64,M,KPJ,RM,48,81826.40000000001
-8019000010899910018,-3800066422014271228,IP,49-64,F,KPJ,RM,47,1313843.4
-4297334731691023433,6601097132759056815,OP,49-64,F,KPJ,RM,46,101291.44999999998
-4879096931856976713,6601097132759056815,DP,49-64,F,KPJ,RM,45,182822.95
-2942052673099793901,-7276370163767546548,IP,19-33,M,KPJ,RM,43,1432551.6
-4580610997579205005,2454985304141717577,IP,34-48,M,KPJ,RM,42,1316501.9500000004
-4297334731691023433,5053715707469957507,OP,49-64,F,KPJ,RM,41,74390.70000000001
-4297334731691023433,2454985304141717577,IP,49-64,F,KPJ,RM,41,802566.0500000002
-4580610997579205005,2454985304141717577,IP,19-33,M,KPJ,RM,39,757416.3499999999
607033468150506309,2454985304141717577,IP,34-48,M,KPJ,RM,38,814239.7
4444044698744369319,5053715707469957507,IP,34-48,F,KPJ,RM,37,332671.35
-4297334731691023433,2454985304141717577,IP,49-64,M,KPJ,RM,37,750617.7999999999
-4297334731691023433,5053715707469957507,IP,34-48,F,KPJ,RM,37,443511.65
6963531762191349518,5053715707469957507,IP,49-64,M,KPJ,RM,36,415749.80000000005
34951405332111201,683356327539910181,IP,19-33,M,KPJ,RM,35,1283636.2500000002
-3683773791594618461,-5576741191788985122,IP,19-33,F,KPJ,RM,35,227272.05000000005
-4297334731691023433,-8383966308998902685,IP," 6-13",M,KPJ,RM,34,281366.30000000005
-4297334731691023433,6601097132759056815,OP,49-64,M,KPJ,RM,33,62220.99999999999
-5702215334154323660,69275896939527291,IP,49-64,F,KPJ,RM,33,331183.69999999995
4444044698744369319,-3800066422014271228,IP,49-64,F,KPJ,RM,33,957672.9999999999
6963531762191349518,5053715707469957507,IP,34-48,F,KPJ,RM,33,390353.2
-4297334731691023433,2454985304141717577,IP,34-48,F,KPJ,RM,32,714194.6999999998
-4297334731691023433,2747006091829731993,OP,19-33,M,KPJ,RM,31,15055.25
-4297334731691023433,69275896939527291,OP,14-18,M,KPJ,RM,31,28149.250000000007
-5890664549861833953,-3085373731158004225,IP,19-33,M,KPJ,RM,30,163902.25000000003
-8612547061528973037,5053715707469957507,IP,34-48,F,KPJ,RM,30,297388.85000000003
-4297334731691023433,5053715707469957507,IP,49-64,F,KPJ,RM,30,307194.7
-4297334731691023433,4074833484965539161,IP,14-18,M,KPJ,RM,29,253826.7
-4297334731691023433,4074833484965539161,IP,49-64,M,KPJ,RM,29,278274.95
-4297334731691023433,683356327539910181,IP,19-33,M,KPJ,RM,29,1121583.1500000001
-4879096931856976713,6601097132759056815,DP,49-64,M,KPJ,RM,28,119593.29999999999
-4297334731691023433,2747006091829731993,OP,34-48,M,KPJ,RM,28,18257.850000000002
4444044698744369319,5053715707469957507,IP,49-64,M,KPJ,RM,28,167258.74999999997
34951405332111201,69275896939527291,IP,19-33,M,KPJ,RM,27,159352.05000000002
-4297334731691023433,5053715707469957507,IP,34-48,M,KPJ,RM,27,258047.80000000005
-2582871044484509859,5053715707469957507,IP,34-48,F,KPJ,RM,27,706187.8999999997
-2582871044484509859,5053715707469957507,IP,49-64,F,KPJ,RM,27,627523.6000000001
-4297334731691023433,2454985304141717577,IP,65-78,F,KPJ,RM,26,543884.95
-5702215334154323660,69275896939527291,DP,49-64,M,KPJ,RM,26,158379.44999999995
4444044698744369319,5053715707469957507,IP,34-48,M,KPJ,RM,26,166078.74999999997
4444044698744369319,-3800066422014271228,IP,65-78,F,KPJ,RM,25,700908.6499999998
-4879096931856976713,6601097132759056815,IP,49-64,M,KPJ,RM,25,177566.34999999998
-4297334731691023433,3909308648118648264,OP,49-64,M,KPJ,RM,25,14447.4
-8019000010899910018,-3800066422014271228,IP,65-78,M,KPJ,RM,24,638116.95
34951405332111201,-6632458379646648511,IP,19-33,M,KPJ,RM,24,940244.2999999999
34951405332111201,-7276370163767546548,IP,19-33,M,KPJ,RM,23,1007123.6499999999
-4297334731691023433,5053715707469957507,IP,49-64,M,KPJ,RM,23,257504.2
-4297334731691023433,4074833484965539161,IP,19-33,F,KPJ,RM,23,216692.75000000003
-4297334731691023433,5053715707469957507,IP,19-33,M,KPJ,RM,23,146353.09999999995
-4297334731691023433,-3085373731158004225,OP,34-48,M,KPJ,RM,23,27670.699999999997
-4297334731691023433,-3085373731158004225,OP,65-78,F,KPJ,RM,23,24980.850000000002
-4297334731691023433,-3085373731158004225,OP," 6-13",M,KPJ,RM,22,23834.5
-4297334731691023433,3909308648118648264,OP," 6-13",M,KPJ,RM,22,9365.900000000001
34951405332111201,-5218326626608894147,IP,19-33,M,KPJ,RM,22,753796.35
607033468150506309,2454985304141717577,IP,49-64,M,KPJ,RM,22,452214.6500000001
526030796439060595,69275896939527291,IP,49-64,F,KPJ,RM,22,117380.25000000003
-4297334731691023433,3909308648118648264,OP,49-64,F,KPJ,RM,21,12778.05
-4297334731691023433,5053715707469957507,OP,34-48,F,KPJ,RM,21,43476.5
-4297334731691023433,5053715707469957507,OP,65-78,F,KPJ,RM,21,41686.45
-8612547061528973037,5053715707469957507,IP,49-64,F,KPJ,RM,21,254582.3
-4297334731691023433,69275896939527291,IP,34-48,M,KPJ,RM,21,123372.15000000001
-4297334731691023433,6601097132759056815,OP,65-78,F,KPJ,RM,21,31092.25
-4297334731691023433,4074833484965539161,IP,49-64,F,KPJ,RM,20,191209.19999999998
-2942052673099793901,5053715707469957507,IP,19-33,M,KPJ,RM,20,174455.94999999998
6886763735090978775,6601097132759056815,DP,49-64,F,KPJ,RM,20,53994.80000000001
-4297334731691023433,3909308648118648264,OP,14-18,M,KPJ,RM,19,11556.6
-4297334731691023433,-3085373731158004225,OP,19-33,M,KPJ,RM,19,18746.100000000002
-4879096931856976713,6601097132759056815,IP,34-48,F,KPJ,RM,19,134755.59999999998
-4297334731691023433,69275896939527291,OP," 6-13",F,KPJ,RM,18,17727.6
-4297334731691023433,69275896939527291,IP,19-33,M,KPJ,RM,18,104861.84999999998
-4297334731691023433,-392083450555986726,IP,49-64,M,KPJ,RM,18,379697.85
-3683773791594618461,-5576741191788985122,IP,19-33,M,KPJ,RM,18,124884.69999999998
-2942052673099793901,-5218326626608894147,IP,19-33,M,KPJ,RM,18,683554.25
4444044698744369319,69275896939527291,IP,34-48,M,KPJ,RM,18,141216.5
4444044698744369319,69275896939527291,IP,49-64,M,KPJ,RM,18,139592
4444044698744369319,69275896939527291,IP,34-48,F,KPJ,RM,17,127773.45000000001
6963531762191349518,5053715707469957507,IP,34-48,M,KPJ,RM,17,162887.9
-2582871044484509859,5053715707469957507,IP,34-48,M,KPJ,RM,17,433691.1500000001
-1434428718637060698,5053715707469957507,IP,49-64,F,KPJ,RM,17,151906.8
-3683773791594618461,-5576741191788985122,IP,34-48,F,KPJ,RM,17,107822.95000000003
-4297334731691023433,3257572218407810539,OP,65-78,F,KPJ,RM,17,67647.20000000001
-4297334731691023433,4074833484965539161,IP,34-48,F,KPJ,RM,17,157158.94999999998
-4297334731691023433,4074833484965539161,IP," 6-13",M,KPJ,RM,17,127755.75000000001
-4297334731691023433,2454985304141717577,IP,14-18,M,KPJ,RM,16,382806.8500000001
-4297334731691023433,2454985304141717577,IP,19-33,F,KPJ,RM,16,294937.8
-4297334731691023433,1755838254210306008,OP,34-48,M,KPJ,RM,16,19306.75
-4297334731691023433,-3085373731158004225,OP,34-48,F,KPJ,RM,16,15678.8
-1704585644428820125,2454985304141717577,IP,49-64,F,KPJ,RM,16,270611.05
-4297334731691023433,69275896939527291,IP,34-48,F,KPJ,RM,16,105792
-5702215334154323660,69275896939527291,DP,34-48,F,KPJ,RM,16,116347.75
6963531762191349518,69275896939527291,IP,49-64,F,KPJ,RM,16,129384.6
34951405332111201,4942113541032353282,IP,19-33,M,KPJ,RM,16,634813.6499999999
9033927806171237369,6601097132759056815,IP,34-48,F,KPJ,RM,16,110374.75000000001
2507542082078810448,-8383966308998902685,IP,49-64,F,KPJ,RM,15,149082.15000000002
-4297334731691023433,69275896939527291,OP," 6-13",M,KPJ,RM,15,9028.099999999999
-2582871044484509859,5053715707469957507,IP,65-78,F,KPJ,RM,15,295305.75
-2582871044484509859,69275896939527291,IP,49-64,F,KPJ,RM,15,160825.19999999998
-4297334731691023433,-3085373731158004225,OP," 6-13",F,KPJ,RM,15,15138.800000000001
-4297334731691023433,-8383966308998902685,IP,14-18,M,KPJ,RM,15,125304.55
-4297334731691023433,-8383966308998902685,IP,34-48,M,KPJ,RM,15,130934.50000000001
-4297334731691023433,3257572218407810539,OP,49-64,F,KPJ,RM,15,60039.65
-4297334731691023433,2747006091829731993,OP,49-64,F,KPJ,RM,14,6531.65
-4297334731691023433,2747006091829731993,OP,14-18,M,KPJ,RM,14,6339.799999999999
-4297334731691023433,3909308648118648264,IP," 6-13",M,KPJ,RM,14,43456.549999999996
-4297334731691023433,5053715707469957507,OP,19-33,F,KPJ,RM,14,24603.5
-4297334731691023433,-8383966308998902685,IP,49-64,F,KPJ,RM,14,123474.79999999999
-4297334731691023433,69275896939527291,OP,14-18,F,KPJ,RM,14,15595.4
