sourceId,destinationId,relationship_type,source_system_name
127009,386639001,AW,SNOMED CT
184004,410942007,AW,SNOMED CT
193003,38341003,AW,SNOMED CT
195005,386639001,AW,SNOMED CT
281004,7200002,AW,SNOMED CT
470004,387713003,AW,SNOMED CT
479003,14304000,AW,SNOMED CT
615005,387713003,AW,SNOMED CT
1308001,40388003,AW,SNOMED CT
1308001,71388002,AW,SNOMED CT
1308001,387713003,AW,SNOMED CT
1310004,290028006,AW,SNOMED CT
1310004,782964007,AW,SNOMED CT
1395008,71388002,AW,SNOMED CT
1430001,417746004,AW,SNOMED CT
1474004,38341003,AW,SNOMED CT
1592005,386639001,AW,SNOMED CT
1679003,64572001,AW,SNOMED CT
1822007,17346000,AW,SNOMED CT
1954004,64572001,AW,SNOMED CT
1954004,410942007,AW,SNOMED CT
1988005,417746004,AW,SNOMED CT
2024009,233869002,AW,SNOMED CT
2053005,122549002,AW,SNOMED CT
2053005,417746004,AW,SNOMED CT
2366001,122549002,AW,SNOMED CT
2366001,417746004,AW,SNOMED CT
2471009,387713003,AW,SNOMED CT
2751001,3855007,AW,SNOMED CT
2816000,77956009,AW,SNOMED CT
3290008,312001004,AW,SNOMED CT
3458000,64572001,AW,SNOMED CT
3629008,71388002,AW,SNOMED CT
3640000,122549002,AW,SNOMED CT
3640000,417746004,AW,SNOMED CT
3859001,122549002,AW,SNOMED CT
3859001,417746004,AW,SNOMED CT
3873005,386639001,AW,SNOMED CT
4002008,387713003,AW,SNOMED CT
4069002,71388002,AW,SNOMED CT
4224004,71388002,AW,SNOMED CT
4332009,417746004,AW,SNOMED CT
4434006,409709004,AW,SNOMED CT
4461006,71388002,AW,SNOMED CT
4586000,31031000,AW,SNOMED CT
4586000,68972003,AW,SNOMED CT
4586000,71388002,AW,SNOMED CT
4586000,118663006,AW,SNOMED CT
4676006,56019007,AW,SNOMED CT
4730003,312001004,AW,SNOMED CT
4752007,25749005,AW,SNOMED CT
4855003,73211009,AW,SNOMED CT
4896000,105590001,AW,SNOMED CT
5002000,410942007,AW,SNOMED CT
5053004,14789005,AW,SNOMED CT
5053004,71388002,AW,SNOMED CT
5053004,303619008,AW,SNOMED CT
5148006,38341003,AW,SNOMED CT
5251007,417746004,AW,SNOMED CT
5285008,49062001,AW,SNOMED CT
5285008,71388002,AW,SNOMED CT
5285008,387713003,AW,SNOMED CT
5430006,225372007,AW,SNOMED CT
5939002,386639001,AW,SNOMED CT
5969009,290028006,AW,SNOMED CT
5969009,782964007,AW,SNOMED CT
6022005,31541009,AW,SNOMED CT
6051009,234947003,AW,SNOMED CT
6176008,3218000,AW,SNOMED CT
6211002,64572001,AW,SNOMED CT
6212009,387713003,AW,SNOMED CT
6666006,417746004,AW,SNOMED CT
6802007,386639001,AW,SNOMED CT
6962006,38341003,AW,SNOMED CT
7126001,64572001,AW,SNOMED CT
7166002,386639001,AW,SNOMED CT
7226007,40733004,AW,SNOMED CT
7555003,64572001,AW,SNOMED CT
7607008,69896004,AW,SNOMED CT
7809009,386639001,AW,SNOMED CT
7819003,417746004,AW,SNOMED CT
7822001,386639001,AW,SNOMED CT
7910003,386639001,AW,SNOMED CT
8209004,399187006,AW,SNOMED CT
8256001,67362008,AW,SNOMED CT
8282005,71388002,AW,SNOMED CT
8282005,387713003,AW,SNOMED CT
8328009,122549002,AW,SNOMED CT
8328009,417746004,AW,SNOMED CT
8670007,386639001,AW,SNOMED CT
8961006,49062001,AW,SNOMED CT
