sourceId,destinationId,relationship_type,source_system_name
119000,103379005,Approach,SNOMED CT
153001,57257006,Approach,SNOMED CT
262007,103388001,Approach,SNOMED CT
456004,66739002,Approach,SNOMED CT
531007,129236007,Approach,SNOMED CT
702005,297211001,Approach,SNOMED CT
926001,129236007,Approach,SNOMED CT
926001,261449002,Approach,SNOMED CT
941001,103379005,Approach,SNOMED CT
1024007,57257006,Approach,SNOMED CT
1029002,103379005,Approach,SNOMED CT
1036001,297211001,Approach,SNOMED CT
1209007,103379005,Approach,SNOMED CT
1390003,103379005,Approach,SNOMED CT
1414009,297211001,Approach,SNOMED CT
1473005,129238008,Approach,SNOMED CT
1678006,103379005,Approach,SNOMED CT
1757000,103379005,Approach,SNOMED CT
1801001,103379005,Approach,SNOMED CT
1801001,129238008,Approach,SNOMED CT
1808007,57257006,Approach,SNOMED CT
1950008,20922003,Approach,SNOMED CT
1950008,260617000,Approach,SNOMED CT
2244006,103379005,Approach,SNOMED CT
2266004,297211001,Approach,SNOMED CT
2567009,129220005,Approach,SNOMED CT
2636002,297211001,Approach,SNOMED CT
2673004,129221009,Approach,SNOMED CT
2696004,297211001,Approach,SNOMED CT
2743004,103379005,Approach,SNOMED CT
2891006,103379005,Approach,SNOMED CT
2945004,30675005,Approach,SNOMED CT
3063009,180632002,Approach,SNOMED CT
3078002,66739002,Approach,SNOMED CT
3256004,297211001,Approach,SNOMED CT
3258003,297211001,Approach,SNOMED CT
3498003,112237001,Approach,SNOMED CT
3512003,297211001,Approach,SNOMED CT
3700004,129222002,Approach,SNOMED CT
3758004,310807005,Approach,SNOMED CT
3828003,129236007,Approach,SNOMED CT
3881006,129221009,Approach,SNOMED CT
4008007,297211001,Approach,SNOMED CT
4036002,103379005,Approach,SNOMED CT
4052004,103388001,Approach,SNOMED CT
4293000,66739002,Approach,SNOMED CT
4321009,297211001,Approach,SNOMED CT
4336007,261043007,Approach,SNOMED CT
4341004,51853008,Approach,SNOMED CT
4363008,103379005,Approach,SNOMED CT
4363008,129238008,Approach,SNOMED CT
4420006,360190002,Approach,SNOMED CT
4438009,297211001,Approach,SNOMED CT
4558008,66739002,Approach,SNOMED CT
4558008,83037006,Approach,SNOMED CT
4640005,66739002,Approach,SNOMED CT
4713000,103379005,Approach,SNOMED CT
4970003,297211001,Approach,SNOMED CT
5019003,103379005,Approach,SNOMED CT
5019003,129238008,Approach,SNOMED CT
5105000,103379005,Approach,SNOMED CT
5176003,103387006,Approach,SNOMED CT
5393006,54846000,Approach,SNOMED CT
5431005,297211001,Approach,SNOMED CT
5551006,103379005,Approach,SNOMED CT
5632009,129236007,Approach,SNOMED CT
6005008,83037006,Approach,SNOMED CT
6025007,103379005,Approach,SNOMED CT
