sourceId,destinationId,relationship_type,source_system_name
105000,2533004,Causative agent,SNOMED CT
105000,311980000,Causative agent,SNOMED CT
105000,373873005,Causative agent,SNOMED CT
123008,106549007,Causative agent,SNOMED CT
123008,314797000,Causative agent,SNOMED CT
123008,407440003,Causative agent,SNOMED CT
147001,4748007,Causative agent,SNOMED CT
147001,36272005,Causative agent,SNOMED CT
151004,68704007,Causative agent,SNOMED CT
157000,19030005,Causative agent,SNOMED CT
172001,36272005,Causative agent,SNOMED CT
177007,61638001,Causative agent,SNOMED CT
177007,280939008,Causative agent,SNOMED CT
177007,1254683009,Causative agent,SNOMED CT
192008,41146007,Causative agent,SNOMED CT
192008,72904005,Causative agent,SNOMED CT
195005,36272005,Causative agent,SNOMED CT
198007,7463000,Causative agent,SNOMED CT
198007,407325004,Causative agent,SNOMED CT
228007,58242002,Causative agent,SNOMED CT
228007,243368001,Causative agent,SNOMED CT
253005,41146007,Causative agent,SNOMED CT
253005,409822003,Causative agent,SNOMED CT
258001,263762005,Causative agent,SNOMED CT
276008,12369008,Causative agent,SNOMED CT
276008,112115002,Causative agent,SNOMED CT
276008,350345004,Causative agent,SNOMED CT
276008,419570005,Causative agent,SNOMED CT
281004,53041004,Causative agent,SNOMED CT
281004,264301008,Causative agent,SNOMED CT
281004,311492009,Causative agent,SNOMED CT
281004,311980000,Causative agent,SNOMED CT
281004,373873005,Causative agent,SNOMED CT
281004,419442005,Causative agent,SNOMED CT
299007,255667006,Causative agent,SNOMED CT
310008,41146007,Causative agent,SNOMED CT
310008,409822003,Causative agent,SNOMED CT
341009,59905008,Causative agent,SNOMED CT
341009,116631008,Causative agent,SNOMED CT
341009,256364002,Causative agent,SNOMED CT
358004,33234009,Causative agent,SNOMED CT
358004,115668003,Causative agent,SNOMED CT
358004,312071000,Causative agent,SNOMED CT
358004,396439006,Causative agent,SNOMED CT
360002,82107009,Causative agent,SNOMED CT
360002,125576007,Causative agent,SNOMED CT
396003,27274008,Causative agent,SNOMED CT
430006,4748007,Causative agent,SNOMED CT
430006,36272005,Causative agent,SNOMED CT
447007,14468000,Causative agent,SNOMED CT
470004,426101004,Causative agent,SNOMED CT
479003,103186007,Causative agent,SNOMED CT
495003,65173008,Causative agent,SNOMED CT
500000,22417000,Causative agent,SNOMED CT
539009,2533004,Causative agent,SNOMED CT
539009,105847008,Causative agent,SNOMED CT
