sourceId,destinationId,relationship_type,source_system_name
127009,773760007,DT,SNOMED CT
127009,789750003,DT,SNOMED CT
171008,773760007,DT,SNOMED CT
172001,34801009,DT,SNOMED CT
184004,1254795002,DT,SNOMED CT
193003,38341003,DT,SNOMED CT
195005,71388002,DT,SNOMED CT
228007,416257001,DT,SNOMED CT
299007,418925002,DT,SNOMED CT
341009,71388002,DT,SNOMED CT
341009,116859006,DT,SNOMED CT
355001,28560003,DT,SNOMED CT
355001,816082000,DT,SNOMED CT
359007,281610001,DT,SNOMED CT
359007,387705004,DT,SNOMED CT
360002,122866006,DT,SNOMED CT
426008,773760007,DT,SNOMED CT
470004,387713003,DT,SNOMED CT
470004,404628003,DT,SNOMED CT
479003,14304000,DT,SNOMED CT
479003,418925002,DT,SNOMED CT
479003,421961002,DT,SNOMED CT
496002,773760007,DT,SNOMED CT
586008,400195000,DT,SNOMED CT
586008,890142005,DT,SNOMED CT
615005,387713003,DT,SNOMED CT
631002,71388002,DT,SNOMED CT
631002,116859006,DT,SNOMED CT
649002,773760007,DT,SNOMED CT
658009,773760007,DT,SNOMED CT
714002,773760007,DT,SNOMED CT
756003,195528001,DT,SNOMED CT
757007,40733004,DT,SNOMED CT
775008,773760007,DT,SNOMED CT
787001,195528001,DT,SNOMED CT
801006,771268008,DT,SNOMED CT
805002,785340007,DT,SNOMED CT
818005,773760007,DT,SNOMED CT
825003,773760007,DT,SNOMED CT
845006,773760007,DT,SNOMED CT
875001,82576008,DT,SNOMED CT
890002,773760007,DT,SNOMED CT
891003,363293009,DT,SNOMED CT
964004,773760007,DT,SNOMED CT
1031006,773760007,DT,SNOMED CT
1089000,40733004,DT,SNOMED CT
1116000,40733004,DT,SNOMED CT
1125006,40733004,DT,SNOMED CT
1135000,122549002,DT,SNOMED CT
1135000,417163006,DT,SNOMED CT
1259003,785340007,DT,SNOMED CT
1264004,773760007,DT,SNOMED CT
1308001,3137001,DT,SNOMED CT
1308001,71388002,DT,SNOMED CT
1367008,773760007,DT,SNOMED CT
1370007,773760007,DT,SNOMED CT
1378000,773760007,DT,SNOMED CT
1395008,71388002,DT,SNOMED CT
1395008,89002000,DT,SNOMED CT
1428003,19496008,DT,SNOMED CT
1430001,9015001,DT,SNOMED CT
1430001,127297005,DT,SNOMED CT
1430001,417746004,DT,SNOMED CT
1469007,789750003,DT,SNOMED CT
1474004,38341003,DT,SNOMED CT
1544005,773760007,DT,SNOMED CT
1654001,71388002,DT,SNOMED CT
1708003,773760007,DT,SNOMED CT
1714005,218196008,DT,SNOMED CT
1723008,10087007,DT,SNOMED CT
1734006,50448004,DT,SNOMED CT
1734006,773760007,DT,SNOMED CT
1761006,33688009,DT,SNOMED CT
1762004,85425003,DT,SNOMED CT
1762004,275367000,DT,SNOMED CT
1778002,47717004,DT,SNOMED CT
1824008,418925002,DT,SNOMED CT
1824008,419076005,DT,SNOMED CT
1833005,14589007,DT,SNOMED CT
1852004,773760007,DT,SNOMED CT
1945002,12263007,DT,SNOMED CT
1945002,55985003,DT,SNOMED CT
1945002,419076005,DT,SNOMED CT
2136001,773760007,DT,SNOMED CT
2202000,773760007,DT,SNOMED CT
2243000,34486009,DT,SNOMED CT
2419001,773760007,DT,SNOMED CT
2420007,773760007,DT,SNOMED CT
2582004,773760007,DT,SNOMED CT
2591000,773760007,DT,SNOMED CT
2651006,773760007,DT,SNOMED CT
2683000,771268008,DT,SNOMED CT
2816000,77956009,DT,SNOMED CT
2816000,1177122009,DT,SNOMED CT
2825006,773760007,DT,SNOMED CT
2840008,444867009,DT,SNOMED CT
2858002,40733004,DT,SNOMED CT
2897005,418925002,DT,SNOMED CT
2897005,421961002,DT,SNOMED CT
