sourceId,destinationId,relationship_type,source_system_name
169008,18535002,Has active ingredient,SNOMED CT
211009,126095003,Has active ingredient,SNOMED CT
302007,28320003,Has active ingredient,SNOMED CT
302007,387163002,Has active ingredient,SNOMED CT
309003,398827000,Has active ingredient,SNOMED CT
439007,417881006,Has active ingredient,SNOMED CT
449005,28320003,Has active ingredient,SNOMED CT
449005,387246005,Has active ingredient,SNOMED CT
544002,387297002,Has active ingredient,SNOMED CT
669007,398756008,Has active ingredient,SNOMED CT
716000,373708006,Has active ingredient,SNOMED CT
742000,398827000,Has active ingredient,SNOMED CT
796001,372707005,Has active ingredient,SNOMED CT
796001,387461009,Has active ingredient,SNOMED CT
829009,396411005,Has active ingredient,SNOMED CT
829009,398827000,Has active ingredient,SNOMED CT
847003,18220004,Has active ingredient,SNOMED CT
847003,59170000,Has active ingredient,SNOMED CT
847003,73187006,Has active ingredient,SNOMED CT
847003,87568004,Has active ingredient,SNOMED CT
922004,372627001,Has active ingredient,SNOMED CT
922004,387527005,Has active ingredient,SNOMED CT
942008,373300001,Has active ingredient,SNOMED CT
1039008,372543001,Has active ingredient,SNOMED CT
1039008,386835005,Has active ingredient,SNOMED CT
1144004,396412003,Has active ingredient,SNOMED CT
1144004,396425006,Has active ingredient,SNOMED CT
1144004,412375000,Has active ingredient,SNOMED CT
1148001,28320003,Has active ingredient,SNOMED CT
1148001,372577006,Has active ingredient,SNOMED CT
1182007,372586001,Has active ingredient,SNOMED CT
1206000,372597001,Has active ingredient,SNOMED CT
1222004,372602008,Has active ingredient,SNOMED CT
1301007,71422000,Has active ingredient,SNOMED CT
1301007,396411005,Has active ingredient,SNOMED CT
1301007,398827000,Has active ingredient,SNOMED CT
1326003,372822009,Has active ingredient,SNOMED CT
1326003,387073002,Has active ingredient,SNOMED CT
1389007,35150008,Has active ingredient,SNOMED CT
1389007,79580006,Has active ingredient,SNOMED CT
1389007,91521001,Has active ingredient,SNOMED CT
1389007,116574000,Has active ingredient,SNOMED CT
1389007,412077000,Has active ingredient,SNOMED CT
1434005,387082008,Has active ingredient,SNOMED CT
1462003,396411005,Has active ingredient,SNOMED CT
1462003,398827000,Has active ingredient,SNOMED CT
1528001,63718003,Has active ingredient,SNOMED CT
1528001,103069003,Has active ingredient,SNOMED CT
1528001,396065004,Has active ingredient,SNOMED CT
1552008,372660003,Has active ingredient,SNOMED CT
1552008,372695000,Has active ingredient,SNOMED CT
1594006,372662006,Has active ingredient,SNOMED CT
1604007,398827000,Has active ingredient,SNOMED CT
