sourceId,destinationId,relationship_type,source_system_name
109006,285854004,Interprets,SNOMED CT
127009,364320009,Interprets,SNOMED CT
129007,386725007,Interprets,SNOMED CT
134006,88911008,Interprets,SNOMED CT
144008,18373002,Interprets,SNOMED CT
144008,415823006,Interprets,SNOMED CT
157000,281004000,Interprets,SNOMED CT
157000,415823006,Interprets,SNOMED CT
165002,278844005,Interprets,SNOMED CT
165002,363896009,Interprets,SNOMED CT
165002,364644000,Interprets,SNOMED CT
179005,18373002,Interprets,SNOMED CT
179005,129025006,Interprets,SNOMED CT
179005,284967006,Interprets,SNOMED CT
183005,767002,Interprets,SNOMED CT
183005,14089001,Interprets,SNOMED CT
183005,61928009,Interprets,SNOMED CT
183005,74848003,Interprets,SNOMED CT
183005,441689006,Interprets,SNOMED CT
195005,364320009,Interprets,SNOMED CT
199004,364383008,Interprets,SNOMED CT
216004,3850002,Interprets,SNOMED CT
216004,311465003,Interprets,SNOMED CT
216004,364644000,Interprets,SNOMED CT
216004,424682006,Interprets,SNOMED CT
219006,228272008,Interprets,SNOMED CT
219006,364644000,Interprets,SNOMED CT
219006,364645004,Interprets,SNOMED CT
223003,364320009,Interprets,SNOMED CT
281004,311465003,Interprets,SNOMED CT
286009,103579009,Interprets,SNOMED CT
286009,271905007,Interprets,SNOMED CT
290006,47078008,Interprets,SNOMED CT
292003,18373002,Interprets,SNOMED CT
292003,54550000,Interprets,SNOMED CT
313005,3850002,Interprets,SNOMED CT
313005,311465003,Interprets,SNOMED CT
313005,363871006,Interprets,SNOMED CT
313005,363888004,Interprets,SNOMED CT
313005,364644000,Interprets,SNOMED CT
320003,50629008,Interprets,SNOMED CT
320003,364644000,Interprets,SNOMED CT
330007,18373002,Interprets,SNOMED CT
349006,18373002,Interprets,SNOMED CT
349006,38299000,Interprets,SNOMED CT
349006,246581004,Interprets,SNOMED CT
349006,386053000,Interprets,SNOMED CT
359007,14089001,Interprets,SNOMED CT
359007,84054007,Interprets,SNOMED CT
359007,165472008,Interprets,SNOMED CT
359007,404227002,Interprets,SNOMED CT
359007,441689006,Interprets,SNOMED CT
364006,86185002,Interprets,SNOMED CT
366008,79258007,Interprets,SNOMED CT
366008,415691001,Interprets,SNOMED CT
369001,37476000,Interprets,SNOMED CT
