sourceId,destinationId,relationship_type,source_system_name
109006,255398004,Occurrence,SNOMED CT
127009,1156670009,Occurrence,SNOMED CT
141000,57855005,Occurrence,SNOMED CT
141000,303112003,Occurrence,SNOMED CT
141000,371578004,Occurrence,SNOMED CT
172001,1156670009,Occurrence,SNOMED CT
192008,57855005,Occurrence,SNOMED CT
192008,255399007,Occurrence,SNOMED CT
192008,371578004,Occurrence,SNOMED CT
195005,1156670009,Occurrence,SNOMED CT
208008,255399007,Occurrence,SNOMED CT
223003,1156670009,Occurrence,SNOMED CT
290006,255399007,Occurrence,SNOMED CT
320003,1156670009,Occurrence,SNOMED CT
359007,57855005,Occurrence,SNOMED CT
359007,255407002,Occurrence,SNOMED CT
359007,303112003,Occurrence,SNOMED CT
359007,371578004,Occurrence,SNOMED CT
359007,767023003,Occurrence,SNOMED CT
378007,255399007,Occurrence,SNOMED CT
403001,255399007,Occurrence,SNOMED CT
407000,255399007,Occurrence,SNOMED CT
434002,255399007,Occurrence,SNOMED CT
440009,255399007,Occurrence,SNOMED CT
443006,1156670009,Occurrence,SNOMED CT
520004,255399007,Occurrence,SNOMED CT
527001,303112003,Occurrence,SNOMED CT
548004,255399007,Occurrence,SNOMED CT
554003,255399007,Occurrence,SNOMED CT
590005,255399007,Occurrence,SNOMED CT
613003,255399007,Occurrence,SNOMED CT
655007,255407002,Occurrence,SNOMED CT
685002,767023003,Occurrence,SNOMED CT
701003,41847000,Occurrence,SNOMED CT
703000,255399007,Occurrence,SNOMED CT
729000,255399007,Occurrence,SNOMED CT
734001,255399007,Occurrence,SNOMED CT
734001,303112003,Occurrence,SNOMED CT
792004,255399007,Occurrence,SNOMED CT
827006,57855005,Occurrence,SNOMED CT
827006,255399007,Occurrence,SNOMED CT
827006,371578004,Occurrence,SNOMED CT
841002,255399007,Occurrence,SNOMED CT
871005,1156670009,Occurrence,SNOMED CT
888003,57855005,Occurrence,SNOMED CT
888003,255407002,Occurrence,SNOMED CT
888003,303112003,Occurrence,SNOMED CT
888003,371578004,Occurrence,SNOMED CT
888003,450426006,Occurrence,SNOMED CT
904002,1156670009,Occurrence,SNOMED CT
931004,1156670009,Occurrence,SNOMED CT
934007,255399007,Occurrence,SNOMED CT
943003,255399007,Occurrence,SNOMED CT
957001,255399007,Occurrence,SNOMED CT
957001,255407002,Occurrence,SNOMED CT
975000,255399007,Occurrence,SNOMED CT
978003,3658006,Occurrence,SNOMED CT
978003,255407002,Occurrence,SNOMED CT
1051005,255399007,Occurrence,SNOMED CT
1073003,255399007,Occurrence,SNOMED CT
1089000,57855005,Occurrence,SNOMED CT
1089000,303112003,Occurrence,SNOMED CT
1124005,255410009,Occurrence,SNOMED CT
1124005,1156670009,Occurrence,SNOMED CT
1125006,276987000,Occurrence,SNOMED CT
1125006,1156670009,Occurrence,SNOMED CT
1125006,1156682000,Occurrence,SNOMED CT
1130005,255399007,Occurrence,SNOMED CT
1131009,255399007,Occurrence,SNOMED CT
1134001,255399007,Occurrence,SNOMED CT
1150009,255399007,Occurrence,SNOMED CT
1212005,255398004,Occurrence,SNOMED CT
1232006,255399007,Occurrence,SNOMED CT
1239002,255399007,Occurrence,SNOMED CT
1256005,255399007,Occurrence,SNOMED CT
1271009,255399007,Occurrence,SNOMED CT
1280009,255399007,Occurrence,SNOMED CT
1280009,303112003,Occurrence,SNOMED CT
1287007,255399007,Occurrence,SNOMED CT
1343000,276987000,Occurrence,SNOMED CT
1343000,1156670009,Occurrence,SNOMED CT
1343000,1156682000,Occurrence,SNOMED CT
1363007,57855005,Occurrence,SNOMED CT
1363007,255407002,Occurrence,SNOMED CT
1363007,303112003,Occurrence,SNOMED CT
1363007,371578004,Occurrence,SNOMED CT
1363007,450426006,Occurrence,SNOMED CT
1372004,255399007,Occurrence,SNOMED CT
1393001,255399007,Occurrence,SNOMED CT
1418007,255399007,Occurrence,SNOMED CT
1469007,1156670009,Occurrence,SNOMED CT
1474004,1156670009,Occurrence,SNOMED CT
1479009,255399007,Occurrence,SNOMED CT
1492007,255399007,Occurrence,SNOMED CT
1512006,255399007,Occurrence,SNOMED CT
1515008,255399007,Occurrence,SNOMED CT
1519002,255399007,Occurrence,SNOMED CT
1538006,255399007,Occurrence,SNOMED CT
1538006,1156670009,Occurrence,SNOMED CT
1539003,767023003,Occurrence,SNOMED CT
1542009,255399007,Occurrence,SNOMED CT
1592005,1156670009,Occurrence,SNOMED CT
1639007,1156670009,Occurrence,SNOMED CT
1674008,255398004,Occurrence,SNOMED CT
1682008,57855005,Occurrence,SNOMED CT
1682008,255399007,Occurrence,SNOMED CT
1682008,255407002,Occurrence,SNOMED CT
1682008,303112003,Occurrence,SNOMED CT
1682008,371578004,Occurrence,SNOMED CT
