sourceId,destinationId,relationship_type,source_system_name
106004,182260004,Part of,SNOMED CT
107008,181455002,Part of,SNOMED CT
108003,302548004,Part of,SNOMED CT
108003,362060003,Part of,SNOMED CT
110001,361331000,Part of,SNOMED CT
111002,278876000,Part of,SNOMED CT
111002,302550007,Part of,SNOMED CT
116007,361714009,Part of,SNOMED CT
116007,362762000,Part of,SNOMED CT
124002,361739000,Part of,SNOMED CT
149003,113358000,Part of,SNOMED CT
155008,182281004,Part of,SNOMED CT
155008,229765004,Part of,SNOMED CT
155008,362006006,Part of,SNOMED CT
155008,362030008,Part of,SNOMED CT
167005,181002002,Part of,SNOMED CT
202009,243984005,Part of,SNOMED CT
202009,245461005,Part of,SNOMED CT
202009,281470000,Part of,SNOMED CT
202009,362030008,Part of,SNOMED CT
202009,362205002,Part of,SNOMED CT
205006,181287002,Part of,SNOMED CT
206007,181613000,Part of,SNOMED CT
206007,302543008,Part of,SNOMED CT
206007,302544002,Part of,SNOMED CT
206007,361808006,Part of,SNOMED CT
221001,263401001,Part of,SNOMED CT
221001,361827000,Part of,SNOMED CT
227002,245402001,Part of,SNOMED CT
227002,362194004,Part of,SNOMED CT
233006,362706000,Part of,SNOMED CT
235004,302548004,Part of,SNOMED CT
235004,302551006,Part of,SNOMED CT
235004,362030008,Part of,SNOMED CT
246001,362401009,Part of,SNOMED CT
246001,362462004,Part of,SNOMED CT
247005,181185000,Part of,SNOMED CT
251007,302551006,Part of,SNOMED CT
256002,38852004,Part of,SNOMED CT
256002,67435004,Part of,SNOMED CT
256002,127908000,Part of,SNOMED CT
263002,302551006,Part of,SNOMED CT
263002,362292005,Part of,SNOMED CT
266005,361967000,Part of,SNOMED CT
272005,181822002,Part of,SNOMED CT
272005,361827000,Part of,SNOMED CT
273000,362012001,Part of,SNOMED CT
283001,182245002,Part of,SNOMED CT
283001,362588004,Part of,SNOMED CT
283001,362589007,Part of,SNOMED CT
283001,362732006,Part of,SNOMED CT
284007,278858007,Part of,SNOMED CT
284007,362826006,Part of,SNOMED CT
289002,361827000,Part of,SNOMED CT
289002,362758006,Part of,SNOMED CT
301000,128530007,Part of,SNOMED CT
301000,302545001,Part of,SNOMED CT
311007,302546000,Part of,SNOMED CT
311007,362812002,Part of,SNOMED CT
315003,181469002,Part of,SNOMED CT
315003,229757002,Part of,SNOMED CT
315003,265800007,Part of,SNOMED CT
318001,362187002,Part of,SNOMED CT
344001,182281004,Part of,SNOMED CT
344001,362875007,Part of,SNOMED CT
345000,281489000,Part of,SNOMED CT
356000,361696001,Part of,SNOMED CT
373003,89122003,Part of,SNOMED CT
373003,302523002,Part of,SNOMED CT
393006,302512001,Part of,SNOMED CT
402006,302548004,Part of,SNOMED CT
402006,302551006,Part of,SNOMED CT
402006,362030008,Part of,SNOMED CT
405008,302548004,Part of,SNOMED CT
405008,362060003,Part of,SNOMED CT
414003,362137009,Part of,SNOMED CT
422005,181226008,Part of,SNOMED CT
441008,51890009,Part of,SNOMED CT
441008,181469002,Part of,SNOMED CT
446003,278858007,Part of,SNOMED CT
446003,302543008,Part of,SNOMED CT
457008,302536002,Part of,SNOMED CT
461002,258335003,Part of,SNOMED CT
461002,362287008,Part of,SNOMED CT
461002,362434006,Part of,SNOMED CT
464005,52901003,Part of,SNOMED CT
464005,87612001,Part of,SNOMED CT
465006,279169003,Part of,SNOMED CT
465006,362326004,Part of,SNOMED CT
465006,362329006,Part of,SNOMED CT
471000,244015008,Part of,SNOMED CT
471000,302545001,Part of,SNOMED CT
471000,361808006,Part of,SNOMED CT
471000,362793004,Part of,SNOMED CT
480000,278198007,Part of,SNOMED CT
485005,302508007,Part of,SNOMED CT
528006,181216001,Part of,SNOMED CT
532000,302548004,Part of,SNOMED CT
532000,361381009,Part of,SNOMED CT
552004,361099009,Part of,SNOMED CT
552004,362294006,Part of,SNOMED CT
552004,362295007,Part of,SNOMED CT
552004,362466001,Part of,SNOMED CT
552004,362496006,Part of,SNOMED CT
565008,243932004,Part of,SNOMED CT
565008,361827000,Part of,SNOMED CT
582005,182245002,Part of,SNOMED CT
582005,361798006,Part of,SNOMED CT
587004,302536002,Part of,SNOMED CT
587004,361873003,Part of,SNOMED CT
587004,361879004,Part of,SNOMED CT
589001,277699000,Part of,SNOMED CT
595000,265782007,Part of,SNOMED CT
608002,361714009,Part of,SNOMED CT
608002,362087004,Part of,SNOMED CT
621009,80097007,Part of,SNOMED CT
630001,80530004,Part of,SNOMED CT
630001,302523002,Part of,SNOMED CT
635006,182245002,Part of,SNOMED CT
635006,244674003,Part of,SNOMED CT
635006,361807001,Part of,SNOMED CT
650002,181835006,Part of,SNOMED CT
650002,361827000,Part of,SNOMED CT
660006,181213009,Part of,SNOMED CT
661005,302549007,Part of,SNOMED CT
688000,57991002,Part of,SNOMED CT
688000,362030008,Part of,SNOMED CT
691000,181250005,Part of,SNOMED CT
692007,182025004,Part of,SNOMED CT
723004,62035001,Part of,SNOMED CT
774007,362874006,Part of,SNOMED CT
790007,181268008,Part of,SNOMED CT
798000,302548004,Part of,SNOMED CT
798000,362060003,Part of,SNOMED CT
808000,181608004,Part of,SNOMED CT
808000,362030008,Part of,SNOMED CT
809008,113192009,Part of,SNOMED CT
809008,278858007,Part of,SNOMED CT
809008,362865009,Part of,SNOMED CT
823005,44300000,Part of,SNOMED CT
823005,180959008,Part of,SNOMED CT
823005,244457007,Part of,SNOMED CT
823005,302550007,Part of,SNOMED CT
830004,181832009,Part of,SNOMED CT
836005,21082005,Part of,SNOMED CT
836005,302549007,Part of,SNOMED CT
885000,278858007,Part of,SNOMED CT
885000,279972009,Part of,SNOMED CT
885000,361920004,Part of,SNOMED CT
885000,362157008,Part of,SNOMED CT
885000,362876008,Part of,SNOMED CT
895007,182204005,Part of,SNOMED CT
917004,181212004,Part of,SNOMED CT
917004,281488008,Part of,SNOMED CT
917004,362606005,Part of,SNOMED CT
921006,181107005,Part of,SNOMED CT
921006,272625005,Part of,SNOMED CT
947002,362689000,Part of,SNOMED CT
955009,281488008,Part of,SNOMED CT
955009,361380005,Part of,SNOMED CT
955009,361384001,Part of,SNOMED CT
973007,361827000,Part of,SNOMED CT
973007,362763005,Part of,SNOMED CT
976004,118760003,Part of,SNOMED CT
976004,302553009,Part of,SNOMED CT
976004,361373008,Part of,SNOMED CT
976004,362060003,Part of,SNOMED CT
996007,302548004,Part of,SNOMED CT
996007,302551006,Part of,SNOMED CT
996007,362030008,Part of,SNOMED CT
1005009,181217005,Part of,SNOMED CT
1005009,362588004,Part of,SNOMED CT
1005009,362589007,Part of,SNOMED CT
1012000,181295003,Part of,SNOMED CT
