sourceId,destinationId,relationship_type,source_system_name
27113001,272391002,Technique,SNOMED CT
37087001,722252002,Technique,SNOMED CT
76882007,722252002,Technique,SNOMED CT
103419001,385345007,Technique,SNOMED CT
106243009,385346008,Technique,SNOMED CT
118433006,722252002,Technique,SNOMED CT
170005003,272391002,Technique,SNOMED CT
170804003,272391002,Technique,SNOMED CT
248347000,272391002,Technique,SNOMED CT
248348005,272391002,Technique,SNOMED CT
248349002,272391002,Technique,SNOMED CT
248350002,272391002,Technique,SNOMED CT
248351003,272391002,Technique,SNOMED CT
248353000,272391002,Technique,SNOMED CT
248354006,272391002,Technique,SNOMED CT
248355007,272391002,Technique,SNOMED CT
248356008,272391002,Technique,SNOMED CT
248357004,272391002,Technique,SNOMED CT
276354005,272391002,Technique,SNOMED CT
276355006,272391002,Technique,SNOMED CT
276763009,722252002,Technique,SNOMED CT
276764003,722252002,Technique,SNOMED CT
276765002,722252002,Technique,SNOMED CT
276766001,722252002,Technique,SNOMED CT
276767005,722252002,Technique,SNOMED CT
301334000,272391002,Technique,SNOMED CT
363808001,272391002,Technique,SNOMED CT
363809009,272391002,Technique,SNOMED CT
364589006,272391002,Technique,SNOMED CT
371829003,722252002,Technique,SNOMED CT
371830008,722252002,Technique,SNOMED CT
371831007,722252002,Technique,SNOMED CT
371832000,722252002,Technique,SNOMED CT
371833005,722252002,Technique,SNOMED CT
371834004,722252002,Technique,SNOMED CT
372276001,449205006,Technique,SNOMED CT
372278000,897202005,Technique,SNOMED CT
372309006,278289002,Technique,SNOMED CT
384994009,106241006,Technique,SNOMED CT
384995005,106241006,Technique,SNOMED CT
384996006,106241006,Technique,SNOMED CT
385002007,106241006,Technique,SNOMED CT
390734006,272391002,Technique,SNOMED CT
391067006,1078210003,Technique,SNOMED CT
396413008,258173007,Technique,SNOMED CT
396414002,278289002,Technique,SNOMED CT
396659000,1013761000004104,Technique,SNOMED CT
400967004,272391002,Technique,SNOMED CT
401003006,272391002,Technique,SNOMED CT
421030009,1259216002,Technique,SNOMED CT
424927000,272391002,Technique,SNOMED CT
425024002,272391002,Technique,SNOMED CT
440103000,1078210003,Technique,SNOMED CT
443133008,278898009,Technique,SNOMED CT
443245006,272391002,Technique,SNOMED CT
443245006,444063009,Technique,SNOMED CT
443428004,781128005,Technique,SNOMED CT
443431003,272391002,Technique,SNOMED CT
444025001,278289002,Technique,SNOMED CT
444411008,278289002,Technique,SNOMED CT
444873005,445670002,Technique,SNOMED CT
445541000,272391002,Technique,SNOMED CT
714358003,273741005,Technique,SNOMED CT
735395000,272391002,Technique,SNOMED CT
736190007,272391002,Technique,SNOMED CT
736534008,73041000052103,Technique,SNOMED CT
763697007,1259215003,Technique,SNOMED CT
784184006,761996005,Technique,SNOMED CT
