sourceId,destinationId,relationship_type,source_system_name
104001,64234005,Procedure site,SNOMED CT
115006,4442007,Procedure site,SNOMED CT
115006,74262004,Procedure site,SNOMED CT
119000,31094006,Procedure site,SNOMED CT
119000,91381003,Procedure site,SNOMED CT
119000,280542007,Procedure site,SNOMED CT
119000,372221008,Procedure site,SNOMED CT
121005,81745001,Procedure site,SNOMED CT
121005,280954002,Procedure site,SNOMED CT
128004,20795001,Procedure site,SNOMED CT
128004,39937001,Procedure site,SNOMED CT
128004,123037004,Procedure site,SNOMED CT
133000,3057000,Procedure site,SNOMED CT
133000,25087005,Procedure site,SNOMED CT
133000,26107004,Procedure site,SNOMED CT
133000,31627007,Procedure site,SNOMED CT
133000,123037004,Procedure site,SNOMED CT
135007,39352004,Procedure site,SNOMED CT
135007,74670003,Procedure site,SNOMED CT
142007,102288007,Procedure site,SNOMED CT
146005,53884002,Procedure site,SNOMED CT
146005,272673000,Procedure site,SNOMED CT
153001,13648007,Procedure site,SNOMED CT
153001,53180009,Procedure site,SNOMED CT
153001,89837001,Procedure site,SNOMED CT
160007,59863003,Procedure site,SNOMED CT
174000,76784001,Procedure site,SNOMED CT
176003,5668004,Procedure site,SNOMED CT
176003,34402009,Procedure site,SNOMED CT
189009,51114001,Procedure site,SNOMED CT
203004,12738006,Procedure site,SNOMED CT
203004,280369009,Procedure site,SNOMED CT
215000,7569003,Procedure site,SNOMED CT
230009,13648007,Procedure site,SNOMED CT
230009,89837001,Procedure site,SNOMED CT
230009,122489005,Procedure site,SNOMED CT
240007,67740006,Procedure site,SNOMED CT
243009,35764002,Procedure site,SNOMED CT
243009,280371009,Procedure site,SNOMED CT
245002,3057000,Procedure site,SNOMED CT
245002,64274004,Procedure site,SNOMED CT
262007,25990002,Procedure site,SNOMED CT
262007,35461009,Procedure site,SNOMED CT
262007,64033007,Procedure site,SNOMED CT
262007,123037004,Procedure site,SNOMED CT
267001,53505006,Procedure site,SNOMED CT
285008,39117004,Procedure site,SNOMED CT
285008,85756007,Procedure site,SNOMED CT
285008,297936001,Procedure site,SNOMED CT
285008,298114002,Procedure site,SNOMED CT
294002,8983005,Procedure site,SNOMED CT
294002,39352004,Procedure site,SNOMED CT
294002,51282000,Procedure site,SNOMED CT
294002,280717001,Procedure site,SNOMED CT
295001,29534007,Procedure site,SNOMED CT
295001,81745001,Procedure site,SNOMED CT
295001,91397008,Procedure site,SNOMED CT
295001,272673000,Procedure site,SNOMED CT
306005,64033007,Procedure site,SNOMED CT
306005,87953007,Procedure site,SNOMED CT
316002,3954005,Procedure site,SNOMED CT
316002,27760002,Procedure site,SNOMED CT
316002,89545001,Procedure site,SNOMED CT
316002,372194000,Procedure site,SNOMED CT
