sourceId,destinationId,relationship_type,source_system_name
104001,64234005,Procedure site - Direct,SNOMED CT
119000,372221008,Procedure site - Direct,SNOMED CT
128004,39937001,Procedure site - Direct,SNOMED CT
135007,29005008,Procedure site - Direct,SNOMED CT
135007,74670003,Procedure site - Direct,SNOMED CT
135007,699026005,Procedure site - Direct,SNOMED CT
142007,102288007,Procedure site - Direct,SNOMED CT
146005,53884002,Procedure site - Direct,SNOMED CT
146005,272673000,Procedure site - Direct,SNOMED CT
153001,19787009,Procedure site - Direct,SNOMED CT
153001,89837001,Procedure site - Direct,SNOMED CT
153001,119220009,Procedure site - Direct,SNOMED CT
174000,76784001,Procedure site - Direct,SNOMED CT
176003,34402009,Procedure site - Direct,SNOMED CT
189009,51114001,Procedure site - Direct,SNOMED CT
230009,13648007,Procedure site - Direct,SNOMED CT
230009,89837001,Procedure site - Direct,SNOMED CT
240007,67740006,Procedure site - Direct,SNOMED CT
245002,3057000,Procedure site - Direct,SNOMED CT
245002,64274004,Procedure site - Direct,SNOMED CT
267001,53505006,Procedure site - Direct,SNOMED CT
285008,45292006,Procedure site - Direct,SNOMED CT
294002,8983005,Procedure site - Direct,SNOMED CT
295001,29534007,Procedure site - Direct,SNOMED CT
295001,81745001,Procedure site - Direct,SNOMED CT
306005,64033007,Procedure site - Direct,SNOMED CT
316002,372194000,Procedure site - Direct,SNOMED CT
334003,58280001,Procedure site - Direct,SNOMED CT
346004,38199008,Procedure site - Direct,SNOMED CT
351005,87953007,Procedure site - Direct,SNOMED CT
352003,57171008,Procedure site - Direct,SNOMED CT
374009,78904004,Procedure site - Direct,SNOMED CT
388008,595000,Procedure site - Direct,SNOMED CT
401004,119218006,Procedure site - Direct,SNOMED CT
406009,69695003,Procedure site - Direct,SNOMED CT
435001,20139000,Procedure site - Direct,SNOMED CT
435001,39607008,Procedure site - Direct,SNOMED CT
435001,51185008,Procedure site - Direct,SNOMED CT
445004,12611008,Procedure site - Direct,SNOMED CT
456004,34516001,Procedure site - Direct,SNOMED CT
456004,302508007,Procedure site - Direct,SNOMED CT
459006,67183008,Procedure site - Direct,SNOMED CT
463004,24136001,Procedure site - Direct,SNOMED CT
463004,39352004,Procedure site - Direct,SNOMED CT
474008,32849002,Procedure site - Direct,SNOMED CT
474008,38848004,Procedure site - Direct,SNOMED CT
474008,69695003,Procedure site - Direct,SNOMED CT
474008,113276009,Procedure site - Direct,SNOMED CT
494004,75573002,Procedure site - Direct,SNOMED CT
503003,28726007,Procedure site - Direct,SNOMED CT
531007,17401000,Procedure site - Direct,SNOMED CT
