sourceId,destinationId,relationship_type,source_system_name
115006,4442007,Procedure site - Indirect,SNOMED CT
121005,280954002,Procedure site - Indirect,SNOMED CT
133000,3057000,Procedure site - Indirect,SNOMED CT
133000,26107004,Procedure site - Indirect,SNOMED CT
146005,53884002,Procedure site - Indirect,SNOMED CT
160007,59863003,Procedure site - Indirect,SNOMED CT
243009,35764002,Procedure site - Indirect,SNOMED CT
262007,25990002,Procedure site - Indirect,SNOMED CT
262007,64033007,Procedure site - Indirect,SNOMED CT
267001,53505006,Procedure site - Indirect,SNOMED CT
285008,45292006,Procedure site - Indirect,SNOMED CT
295001,81745001,Procedure site - Indirect,SNOMED CT
346004,8711009,Procedure site - Indirect,SNOMED CT
346004,38199008,Procedure site - Indirect,SNOMED CT
346004,85077000,Procedure site - Indirect,SNOMED CT
374009,63698005,Procedure site - Indirect,SNOMED CT
456004,34516001,Procedure site - Indirect,SNOMED CT
463004,24136001,Procedure site - Indirect,SNOMED CT
463004,29836001,Procedure site - Indirect,SNOMED CT
463004,39352004,Procedure site - Indirect,SNOMED CT
497006,80169004,Procedure site - Indirect,SNOMED CT
533005,89837001,Procedure site - Indirect,SNOMED CT
533005,113276009,Procedure site - Indirect,SNOMED CT
543008,79741001,Procedure site - Indirect,SNOMED CT
617002,91397008,Procedure site - Indirect,SNOMED CT
617002,91609006,Procedure site - Indirect,SNOMED CT
629006,13648007,Procedure site - Indirect,SNOMED CT
637003,45206002,Procedure site - Indirect,SNOMED CT
676002,64033007,Procedure site - Indirect,SNOMED CT
676002,83670000,Procedure site - Indirect,SNOMED CT
695009,39937001,Procedure site - Indirect,SNOMED CT
710006,51114001,Procedure site - Indirect,SNOMED CT
710006,59820001,Procedure site - Indirect,SNOMED CT
710006,86570000,Procedure site - Indirect,SNOMED CT
712003,51185008,Procedure site - Indirect,SNOMED CT
817000,78961009,Procedure site - Indirect,SNOMED CT
911003,85178008,Procedure site - Indirect,SNOMED CT
911003,87953007,Procedure site - Indirect,SNOMED CT
911003,244443005,Procedure site - Indirect,SNOMED CT
926001,45631007,Procedure site - Indirect,SNOMED CT
1036001,29092000,Procedure site - Indirect,SNOMED CT
1036001,46027005,Procedure site - Indirect,SNOMED CT
1041009,272673000,Procedure site - Indirect,SNOMED CT
1048003,20982000,Procedure site - Indirect,SNOMED CT
1048003,59820001,Procedure site - Indirect,SNOMED CT
1084005,47145004,Procedure site - Indirect,SNOMED CT
1094000,122489005,Procedure site - Indirect,SNOMED CT
1119007,39352004,Procedure site - Indirect,SNOMED CT
1127003,85293002,Procedure site - Indirect,SNOMED CT
1127003,87784001,Procedure site - Indirect,SNOMED CT
1133007,63762007,Procedure site - Indirect,SNOMED CT
1133007,73056007,Procedure site - Indirect,SNOMED CT
1133007,76752008,Procedure site - Indirect,SNOMED CT
1133007,80248007,Procedure site - Indirect,SNOMED CT
1238005,26107004,Procedure site - Indirect,SNOMED CT
1266002,42859004,Procedure site - Indirect,SNOMED CT
1267006,76784001,Procedure site - Indirect,SNOMED CT
1278003,39352004,Procedure site - Indirect,SNOMED CT
1278003,85537004,Procedure site - Indirect,SNOMED CT
1279006,80891009,Procedure site - Indirect,SNOMED CT
1316005,74262004,Procedure site - Indirect,SNOMED CT
1339004,34402009,Procedure site - Indirect,SNOMED CT
1398005,29092000,Procedure site - Indirect,SNOMED CT
1398005,244411005,Procedure site - Indirect,SNOMED CT
1407007,61685007,Procedure site - Indirect,SNOMED CT
1413003,28726007,Procedure site - Indirect,SNOMED CT
1457004,69695003,Procedure site - Indirect,SNOMED CT
1529009,87784001,Procedure site - Indirect,SNOMED CT
1576000,113276009,Procedure site - Indirect,SNOMED CT
1577009,80891009,Procedure site - Indirect,SNOMED CT
1615002,28035005,Procedure site - Indirect,SNOMED CT
1615002,91609006,Procedure site - Indirect,SNOMED CT
1615002,415636008,Procedure site - Indirect,SNOMED CT
1636000,29092000,Procedure site - Indirect,SNOMED CT
1638004,66019005,Procedure site - Indirect,SNOMED CT
1653007,272673000,Procedure site - Indirect,SNOMED CT
1691007,75573002,Procedure site - Indirect,SNOMED CT
1702002,38199008,Procedure site - Indirect,SNOMED CT
1709006,39937001,Procedure site - Indirect,SNOMED CT
1730002,61685007,Procedure site - Indirect,SNOMED CT
1746005,5665001,Procedure site - Indirect,SNOMED CT
1747001,79984008,Procedure site - Indirect,SNOMED CT
1775004,5713008,Procedure site - Indirect,SNOMED CT
1775004,122498008,Procedure site - Indirect,SNOMED CT
1787006,25489000,Procedure site - Indirect,SNOMED CT
1807002,8389004,Procedure site - Indirect,SNOMED CT
1811008,425250005,Procedure site - Indirect,SNOMED CT
1813006,39937001,Procedure site - Indirect,SNOMED CT
1813006,297936001,Procedure site - Indirect,SNOMED CT
1830008,272673000,Procedure site - Indirect,SNOMED CT
1859008,13024002,Procedure site - Indirect,SNOMED CT
1859008,118632007,Procedure site - Indirect,SNOMED CT
1868005,12738006,Procedure site - Indirect,SNOMED CT
1868005,21483005,Procedure site - Indirect,SNOMED CT
1870001,89546000,Procedure site - Indirect,SNOMED CT
1871002,51114001,Procedure site - Indirect,SNOMED CT
1906007,40983000,Procedure site - Indirect,SNOMED CT
1924009,56732008,Procedure site - Indirect,SNOMED CT
1950008,68426009,Procedure site - Indirect,SNOMED CT
1958001,2550002,Procedure site - Indirect,SNOMED CT
1958001,59354007,Procedure site - Indirect,SNOMED CT
2021001,272673000,Procedure site - Indirect,SNOMED CT
2067001,117590005,Procedure site - Indirect,SNOMED CT
2069003,54308001,Procedure site - Indirect,SNOMED CT
2069003,299978004,Procedure site - Indirect,SNOMED CT
2069003,392081006,Procedure site - Indirect,SNOMED CT
2098004,91609006,Procedure site - Indirect,SNOMED CT
2098004,272673000,Procedure site - Indirect,SNOMED CT
2115003,38199008,Procedure site - Indirect,SNOMED CT
2127000,54735007,Procedure site - Indirect,SNOMED CT
2127000,272673000,Procedure site - Indirect,SNOMED CT
2137005,76848001,Procedure site - Indirect,SNOMED CT
2164006,15825003,Procedure site - Indirect,SNOMED CT
2178007,77980008,Procedure site - Indirect,SNOMED CT
2178007,87953007,Procedure site - Indirect,SNOMED CT
2193006,51114001,Procedure site - Indirect,SNOMED CT
2193006,57850000,Procedure site - Indirect,SNOMED CT
2244006,305017008,Procedure site - Indirect,SNOMED CT
2267008,44567001,Procedure site - Indirect,SNOMED CT
2382000,76752008,Procedure site - Indirect,SNOMED CT
2386002,39352004,Procedure site - Indirect,SNOMED CT
2407009,72410000,Procedure site - Indirect,SNOMED CT
2498008,28035005,Procedure site - Indirect,SNOMED CT
2498008,91609006,Procedure site - Indirect,SNOMED CT
2498008,415636008,Procedure site - Indirect,SNOMED CT
2514009,23409000,Procedure site - Indirect,SNOMED CT
2514009,272673000,Procedure site - Indirect,SNOMED CT
2536007,31636006,Procedure site - Indirect,SNOMED CT
2601001,89546000,Procedure site - Indirect,SNOMED CT
2613006,39352004,Procedure site - Indirect,SNOMED CT
2613006,40238009,Procedure site - Indirect,SNOMED CT
2614000,31435000,Procedure site - Indirect,SNOMED CT
2632000,423415001,Procedure site - Indirect,SNOMED CT
2668005,4442007,Procedure site - Indirect,SNOMED CT
2673004,122500009,Procedure site - Indirect,SNOMED CT
2737001,21031007,Procedure site - Indirect,SNOMED CT
2875008,16953009,Procedure site - Indirect,SNOMED CT
2875008,39352004,Procedure site - Indirect,SNOMED CT
2885009,53534000,Procedure site - Indirect,SNOMED CT
2977001,122774002,Procedure site - Indirect,SNOMED CT
3010001,117590005,Procedure site - Indirect,SNOMED CT
3016007,89546000,Procedure site - Indirect,SNOMED CT
3075004,28273000,Procedure site - Indirect,SNOMED CT
3078002,2841007,Procedure site - Indirect,SNOMED CT
3083005,51185008,Procedure site - Indirect,SNOMED CT
3164000,91609006,Procedure site - Indirect,SNOMED CT
3257008,64033007,Procedure site - Indirect,SNOMED CT
3270004,53418001,Procedure site - Indirect,SNOMED CT
3270004,280717001,Procedure site - Indirect,SNOMED CT
3270004,1141981001,Procedure site - Indirect,SNOMED CT
3278006,425250005,Procedure site - Indirect,SNOMED CT
3326006,272673000,Procedure site - Indirect,SNOMED CT
3333006,14975008,Procedure site - Indirect,SNOMED CT
3333006,85562004,Procedure site - Indirect,SNOMED CT
3338002,272673000,Procedure site - Indirect,SNOMED CT
3479000,80891009,Procedure site - Indirect,SNOMED CT
3515001,80891009,Procedure site - Indirect,SNOMED CT
3517009,21340003,Procedure site - Indirect,SNOMED CT
3559005,87953007,Procedure site - Indirect,SNOMED CT
3564009,31435000,Procedure site - Indirect,SNOMED CT
3580004,54066008,Procedure site - Indirect,SNOMED CT
3669009,40983000,Procedure site - Indirect,SNOMED CT
3688002,371398005,Procedure site - Indirect,SNOMED CT
3701000,49742004,Procedure site - Indirect,SNOMED CT
3701000,127856007,Procedure site - Indirect,SNOMED CT
3740005,24658000,Procedure site - Indirect,SNOMED CT
3749006,272673000,Procedure site - Indirect,SNOMED CT
3758004,36765005,Procedure site - Indirect,SNOMED CT
3796003,21306003,Procedure site - Indirect,SNOMED CT
3796003,88636004,Procedure site - Indirect,SNOMED CT
3802001,28035005,Procedure site - Indirect,SNOMED CT
3802001,38199008,Procedure site - Indirect,SNOMED CT
3826004,80243003,Procedure site - Indirect,SNOMED CT
3843001,84820005,Procedure site - Indirect,SNOMED CT
3861005,51114001,Procedure site - Indirect,SNOMED CT
3881006,122499000,Procedure site - Indirect,SNOMED CT
3887005,39937001,Procedure site - Indirect,SNOMED CT
3891000,4442007,Procedure site - Indirect,SNOMED CT
3907006,82849001,Procedure site - Indirect,SNOMED CT
3938007,5665001,Procedure site - Indirect,SNOMED CT
3969006,39352004,Procedure site - Indirect,SNOMED CT
4027001,50230006,Procedure site - Indirect,SNOMED CT
4034004,91397008,Procedure site - Indirect,SNOMED CT
4035003,38199008,Procedure site - Indirect,SNOMED CT
4037006,59820001,Procedure site - Indirect,SNOMED CT
4044002,71854001,Procedure site - Indirect,SNOMED CT
4045001,35764002,Procedure site - Indirect,SNOMED CT
4052004,2748008,Procedure site - Indirect,SNOMED CT
4052004,53418001,Procedure site - Indirect,SNOMED CT
4052004,280717001,Procedure site - Indirect,SNOMED CT
4052004,1141981001,Procedure site - Indirect,SNOMED CT
4068005,21483005,Procedure site - Indirect,SNOMED CT
4068005,280371009,Procedure site - Indirect,SNOMED CT
4083000,14975008,Procedure site - Indirect,SNOMED CT
4090005,21814001,Procedure site - Indirect,SNOMED CT
4090005,59652004,Procedure site - Indirect,SNOMED CT
4090005,80891009,Procedure site - Indirect,SNOMED CT
4131005,12921003,Procedure site - Indirect,SNOMED CT
4134002,3057000,Procedure site - Indirect,SNOMED CT
4143006,31636006,Procedure site - Indirect,SNOMED CT
4154001,18911002,Procedure site - Indirect,SNOMED CT
4213001,35764002,Procedure site - Indirect,SNOMED CT
4214007,80891009,Procedure site - Indirect,SNOMED CT
4285000,71341001,Procedure site - Indirect,SNOMED CT
4319004,28035005,Procedure site - Indirect,SNOMED CT
4319004,91609006,Procedure site - Indirect,SNOMED CT
4323007,18619003,Procedure site - Indirect,SNOMED CT
4333004,45173003,Procedure site - Indirect,SNOMED CT
4333004,83670000,Procedure site - Indirect,SNOMED CT
4344007,5665001,Procedure site - Indirect,SNOMED CT
4350002,28726007,Procedure site - Indirect,SNOMED CT
4411002,413344004,Procedure site - Indirect,SNOMED CT
4420006,12507007,Procedure site - Indirect,SNOMED CT
4420006,86226005,Procedure site - Indirect,SNOMED CT
4450003,272673000,Procedure site - Indirect,SNOMED CT
4455008,16953009,Procedure site - Indirect,SNOMED CT
4455008,39352004,Procedure site - Indirect,SNOMED CT
4457000,76784001,Procedure site - Indirect,SNOMED CT
4467005,71616004,Procedure site - Indirect,SNOMED CT
4503005,18619003,Procedure site - Indirect,SNOMED CT
4505003,13024002,Procedure site - Indirect,SNOMED CT
4505003,245106008,Procedure site - Indirect,SNOMED CT
4520009,32849002,Procedure site - Indirect,SNOMED CT
4542005,84167007,Procedure site - Indirect,SNOMED CT
4542005,272673000,Procedure site - Indirect,SNOMED CT
4579008,35764002,Procedure site - Indirect,SNOMED CT
4579008,73829009,Procedure site - Indirect,SNOMED CT
4642002,18911002,Procedure site - Indirect,SNOMED CT
4670000,955009,Procedure site - Indirect,SNOMED CT
4712005,89546000,Procedure site - Indirect,SNOMED CT
4734007,38866009,Procedure site - Indirect,SNOMED CT
4734007,39937001,Procedure site - Indirect,SNOMED CT
4734007,48075008,Procedure site - Indirect,SNOMED CT
4765003,363654007,Procedure site - Indirect,SNOMED CT
4772002,49957000,Procedure site - Indirect,SNOMED CT
4891005,34402009,Procedure site - Indirect,SNOMED CT
4992004,17398003,Procedure site - Indirect,SNOMED CT
5016005,38199008,Procedure site - Indirect,SNOMED CT
5016005,74262004,Procedure site - Indirect,SNOMED CT
5016005,700016008,Procedure site - Indirect,SNOMED CT
5065000,39352004,Procedure site - Indirect,SNOMED CT
5130002,78076003,Procedure site - Indirect,SNOMED CT
5151004,303053008,Procedure site - Indirect,SNOMED CT
5162004,39937001,Procedure site - Indirect,SNOMED CT
5176003,2841007,Procedure site - Indirect,SNOMED CT
5176003,51114001,Procedure site - Indirect,SNOMED CT
5176003,59820001,Procedure site - Indirect,SNOMED CT
5182000,38266002,Procedure site - Indirect,SNOMED CT
5182000,281189005,Procedure site - Indirect,SNOMED CT
5184004,272673000,Procedure site - Indirect,SNOMED CT
5273000,34318004,Procedure site - Indirect,SNOMED CT
5273000,272673000,Procedure site - Indirect,SNOMED CT
5290006,36360002,Procedure site - Indirect,SNOMED CT
5298004,68367000,Procedure site - Indirect,SNOMED CT
5342002,12611008,Procedure site - Indirect,SNOMED CT
5407000,31435000,Procedure site - Indirect,SNOMED CT
5415002,10200004,Procedure site - Indirect,SNOMED CT
5419008,118632007,Procedure site - Indirect,SNOMED CT
