sourceId,destinationId,relationship_type,source_system_name
243009,255231005,Revision status,SNOMED CT
1253002,255231005,Revision status,SNOMED CT
2267008,255231005,Revision status,SNOMED CT
2455009,255231005,Revision status,SNOMED CT
2843005,255231005,Revision status,SNOMED CT
3796003,255231005,Revision status,SNOMED CT
4098003,255231005,Revision status,SNOMED CT
4101004,255231005,Revision status,SNOMED CT
4862007,255231005,Revision status,SNOMED CT
5648005,255231005,Revision status,SNOMED CT
5722009,255231005,Revision status,SNOMED CT
5806001,255231005,Revision status,SNOMED CT
7043001,63161005,Revision status,SNOMED CT
7043001,261424001,Revision status,SNOMED CT
7459007,255231005,Revision status,SNOMED CT
7574006,255231005,Revision status,SNOMED CT
7823006,261424001,Revision status,SNOMED CT
8136007,255231005,Revision status,SNOMED CT
8271002,255231005,Revision status,SNOMED CT
9225000,255231005,Revision status,SNOMED CT
9257004,255231005,Revision status,SNOMED CT
9845004,255231005,Revision status,SNOMED CT
9938000,255231005,Revision status,SNOMED CT
10088002,255231005,Revision status,SNOMED CT
10159000,255231005,Revision status,SNOMED CT
10289000,255231005,Revision status,SNOMED CT
10359005,255231005,Revision status,SNOMED CT
11510003,255231005,Revision status,SNOMED CT
12291004,255231005,Revision status,SNOMED CT
12739003,255231005,Revision status,SNOMED CT
12868007,255231005,Revision status,SNOMED CT
13707001,255231005,Revision status,SNOMED CT
14265004,255231005,Revision status,SNOMED CT
15372008,255231005,Revision status,SNOMED CT
15517007,257911001,Revision status,SNOMED CT
16117008,255231005,Revision status,SNOMED CT
16704000,255231005,Revision status,SNOMED CT
16900000,255231005,Revision status,SNOMED CT
17081006,255231005,Revision status,SNOMED CT
17181008,255231005,Revision status,SNOMED CT
17286005,255231005,Revision status,SNOMED CT
18036005,255231005,Revision status,SNOMED CT
18301004,261424001,Revision status,SNOMED CT
18884000,255231005,Revision status,SNOMED CT
18995005,255231005,Revision status,SNOMED CT
19273005,257911001,Revision status,SNOMED CT
19807000,255231005,Revision status,SNOMED CT
20458002,255231005,Revision status,SNOMED CT
20786009,255231005,Revision status,SNOMED CT
21269005,255231005,Revision status,SNOMED CT
21442007,255231005,Revision status,SNOMED CT
22278001,255231005,Revision status,SNOMED CT
23084000,255231005,Revision status,SNOMED CT
23253008,63161005,Revision status,SNOMED CT
23253008,261424001,Revision status,SNOMED CT
24198002,255231005,Revision status,SNOMED CT
24323008,255231005,Revision status,SNOMED CT
24429008,255231005,Revision status,SNOMED CT
25073005,255231005,Revision status,SNOMED CT
25140000,255231005,Revision status,SNOMED CT
25184000,255231005,Revision status,SNOMED CT
26447000,255231005,Revision status,SNOMED CT
26637009,255231005,Revision status,SNOMED CT
27136005,255231005,Revision status,SNOMED CT
28148006,255231005,Revision status,SNOMED CT
28512001,255231005,Revision status,SNOMED CT
29358007,255231005,Revision status,SNOMED CT
29621002,255231005,Revision status,SNOMED CT
29712008,255231005,Revision status,SNOMED CT
29940006,255231005,Revision status,SNOMED CT
29949007,255231005,Revision status,SNOMED CT
30129001,255231005,Revision status,SNOMED CT
30444008,255231005,Revision status,SNOMED CT
30587009,255231005,Revision status,SNOMED CT
31591008,255231005,Revision status,SNOMED CT
31694007,63161005,Revision status,SNOMED CT
31774006,255231005,Revision status,SNOMED CT
32010001,255231005,Revision status,SNOMED CT
33582004,255231005,Revision status,SNOMED CT
33989004,255231005,Revision status,SNOMED CT
33998001,255231005,Revision status,SNOMED CT
34163007,255231005,Revision status,SNOMED CT
34955007,255231005,Revision status,SNOMED CT
35176008,255231005,Revision status,SNOMED CT
36519005,255231005,Revision status,SNOMED CT
38014004,255231005,Revision status,SNOMED CT
38294005,261424001,Revision status,SNOMED CT
38803003,255231005,Revision status,SNOMED CT
39027008,255231005,Revision status,SNOMED CT
39136009,255231005,Revision status,SNOMED CT
39749005,255231005,Revision status,SNOMED CT
41536004,255231005,Revision status,SNOMED CT
42621009,255231005,Revision status,SNOMED CT
43504003,255231005,Revision status,SNOMED CT
44148007,255231005,Revision status,SNOMED CT
44800008,255231005,Revision status,SNOMED CT
45010005,255231005,Revision status,SNOMED CT
45125008,255231005,Revision status,SNOMED CT
45474001,255231005,Revision status,SNOMED CT
45538008,255231005,Revision status,SNOMED CT
45657005,255231005,Revision status,SNOMED CT
45858002,255231005,Revision status,SNOMED CT
46070005,255231005,Revision status,SNOMED CT
46634008,255231005,Revision status,SNOMED CT
46648008,261424001,Revision status,SNOMED CT
46706006,255231005,Revision status,SNOMED CT
47202004,255231005,Revision status,SNOMED CT
47353000,255231005,Revision status,SNOMED CT
47490000,255231005,Revision status,SNOMED CT
47568003,255231005,Revision status,SNOMED CT
47599002,261424001,Revision status,SNOMED CT
48371009,255231005,Revision status,SNOMED CT
49304007,255231005,Revision status,SNOMED CT
49440008,255231005,Revision status,SNOMED CT
49877008,255231005,Revision status,SNOMED CT
50432000,261424001,Revision status,SNOMED CT
50449007,255231005,Revision status,SNOMED CT
50538003,261424001,Revision status,SNOMED CT
51957005,255231005,Revision status,SNOMED CT
53356001,63161005,Revision status,SNOMED CT
53356001,261424001,Revision status,SNOMED CT
53760001,255231005,Revision status,SNOMED CT
54104006,255231005,Revision status,SNOMED CT
54315009,255231005,Revision status,SNOMED CT
55046007,255231005,Revision status,SNOMED CT
55317005,255231005,Revision status,SNOMED CT
55455004,255231005,Revision status,SNOMED CT
55615009,255231005,Revision status,SNOMED CT
55718003,255231005,Revision status,SNOMED CT
56791004,255231005,Revision status,SNOMED CT
58490006,255231005,Revision status,SNOMED CT
58665004,255231005,Revision status,SNOMED CT
59184005,255231005,Revision status,SNOMED CT
59793000,255231005,Revision status,SNOMED CT
60749009,255231005,Revision status,SNOMED CT
61305000,255231005,Revision status,SNOMED CT
61779007,255231005,Revision status,SNOMED CT
62402000,255231005,Revision status,SNOMED CT
62460005,63161005,Revision status,SNOMED CT
62460005,261424001,Revision status,SNOMED CT
64271007,255231005,Revision status,SNOMED CT
64492005,255231005,Revision status,SNOMED CT
65128001,255231005,Revision status,SNOMED CT
65168002,255231005,Revision status,SNOMED CT
65854006,255231005,Revision status,SNOMED CT
65936006,255231005,Revision status,SNOMED CT
66021000,255231005,Revision status,SNOMED CT
66284001,255231005,Revision status,SNOMED CT
67354000,255231005,Revision status,SNOMED CT
67476008,63161005,Revision status,SNOMED CT
67554001,255231005,Revision status,SNOMED CT
68315004,261424001,Revision status,SNOMED CT
69128008,255231005,Revision status,SNOMED CT
69486001,255231005,Revision status,SNOMED CT
70234001,261424001,Revision status,SNOMED CT
71102008,255231005,Revision status,SNOMED CT
71372002,255231005,Revision status,SNOMED CT
72009003,255231005,Revision status,SNOMED CT
72013005,255231005,Revision status,SNOMED CT
72767005,255231005,Revision status,SNOMED CT
72912002,255231005,Revision status,SNOMED CT
73156009,63161005,Revision status,SNOMED CT
73156009,261424001,Revision status,SNOMED CT
74467008,255231005,Revision status,SNOMED CT
75513009,255231005,Revision status,SNOMED CT
75747009,255231005,Revision status,SNOMED CT
77055005,255231005,Revision status,SNOMED CT
77071005,255231005,Revision status,SNOMED CT
77076000,257911001,Revision status,SNOMED CT
77453006,255231005,Revision status,SNOMED CT
78353005,255231005,Revision status,SNOMED CT
78891000,255231005,Revision status,SNOMED CT
79145004,261424001,Revision status,SNOMED CT
79165006,255231005,Revision status,SNOMED CT
79518006,255231005,Revision status,SNOMED CT
79753002,255231005,Revision status,SNOMED CT
80173001,255231005,Revision status,SNOMED CT
80634002,255231005,Revision status,SNOMED CT
81478009,261424001,Revision status,SNOMED CT
82254000,255231005,Revision status,SNOMED CT
82862002,261424001,Revision status,SNOMED CT
83345008,255231005,Revision status,SNOMED CT
83393002,255231005,Revision status,SNOMED CT
85963000,255231005,Revision status,SNOMED CT
85987003,255231005,Revision status,SNOMED CT
86106003,255231005,Revision status,SNOMED CT
86486005,255231005,Revision status,SNOMED CT
86881008,255231005,Revision status,SNOMED CT
87732007,255231005,Revision status,SNOMED CT
88141006,255231005,Revision status,SNOMED CT
88234006,255231005,Revision status,SNOMED CT
89899001,257911001,Revision status,SNOMED CT
90788004,255231005,Revision status,SNOMED CT
90854001,255231005,Revision status,SNOMED CT
91236004,255231005,Revision status,SNOMED CT
91552000,255231005,Revision status,SNOMED CT
112691008,255231005,Revision status,SNOMED CT
112706000,255231005,Revision status,SNOMED CT
112727005,255231005,Revision status,SNOMED CT
112728000,255231005,Revision status,SNOMED CT
112817008,255231005,Revision status,SNOMED CT
118635009,255231005,Revision status,SNOMED CT
122460008,255231005,Revision status,SNOMED CT
128323000,255231005,Revision status,SNOMED CT
171521009,255231005,Revision status,SNOMED CT
171522002,255231005,Revision status,SNOMED CT
171562003,63161005,Revision status,SNOMED CT
171562003,261424001,Revision status,SNOMED CT
171563008,2603003,Revision status,SNOMED CT
171563008,255231005,Revision status,SNOMED CT
171815001,63161005,Revision status,SNOMED CT
171815001,261424001,Revision status,SNOMED CT
171816000,2603003,Revision status,SNOMED CT
171816000,255231005,Revision status,SNOMED CT
171831009,63161005,Revision status,SNOMED CT
171831009,261424001,Revision status,SNOMED CT
171839006,255231005,Revision status,SNOMED CT
171840008,255231005,Revision status,SNOMED CT
171856003,2603003,Revision status,SNOMED CT
171856003,255231005,Revision status,SNOMED CT
171862008,255231005,Revision status,SNOMED CT
171863003,255231005,Revision status,SNOMED CT
171864009,255231005,Revision status,SNOMED CT
171865005,255231005,Revision status,SNOMED CT
171867002,255231005,Revision status,SNOMED CT
172149008,255231005,Revision status,SNOMED CT
172150008,255231005,Revision status,SNOMED CT
172246005,255231005,Revision status,SNOMED CT
172295005,255231005,Revision status,SNOMED CT
172542008,255231005,Revision status,SNOMED CT
172668007,255231005,Revision status,SNOMED CT
172698000,255231005,Revision status,SNOMED CT
172785002,63161005,Revision status,SNOMED CT
172785002,261424001,Revision status,SNOMED CT
172796005,255231005,Revision status,SNOMED CT
173063006,255231005,Revision status,SNOMED CT
173133004,255231005,Revision status,SNOMED CT
173232000,255231005,Revision status,SNOMED CT
173388007,255231005,Revision status,SNOMED CT
173595004,255231005,Revision status,SNOMED CT
173627007,255231005,Revision status,SNOMED CT
173704005,255231005,Revision status,SNOMED CT
173705006,255231005,Revision status,SNOMED CT
173706007,255231005,Revision status,SNOMED CT
173708008,255231005,Revision status,SNOMED CT
173709000,255231005,Revision status,SNOMED CT
173742004,255231005,Revision status,SNOMED CT
173743009,255231005,Revision status,SNOMED CT
173749008,255231005,Revision status,SNOMED CT
173764008,255231005,Revision status,SNOMED CT
173908003,255231005,Revision status,SNOMED CT
173973006,255231005,Revision status,SNOMED CT
173985003,255231005,Revision status,SNOMED CT
174132000,255231005,Revision status,SNOMED CT
174141005,255231005,Revision status,SNOMED CT
174349004,255231005,Revision status,SNOMED CT
174427006,255231005,Revision status,SNOMED CT
174503007,255231005,Revision status,SNOMED CT
174557000,255231005,Revision status,SNOMED CT
174564003,255231005,Revision status,SNOMED CT
174565002,255231005,Revision status,SNOMED CT
174571008,255231005,Revision status,SNOMED CT
174578002,255231005,Revision status,SNOMED CT
174595005,255231005,Revision status,SNOMED CT
174657006,255231005,Revision status,SNOMED CT
174659009,255231005,Revision status,SNOMED CT
174660004,255231005,Revision status,SNOMED CT
174661000,255231005,Revision status,SNOMED CT
174694002,255231005,Revision status,SNOMED CT
174726003,255231005,Revision status,SNOMED CT
174803001,255231005,Revision status,SNOMED CT
174810007,255231005,Revision status,SNOMED CT
174818000,255231005,Revision status,SNOMED CT
174841008,255231005,Revision status,SNOMED CT
174848002,255231005,Revision status,SNOMED CT
174854001,255231005,Revision status,SNOMED CT
174885005,255231005,Revision status,SNOMED CT
174959007,255231005,Revision status,SNOMED CT
174960002,255231005,Revision status,SNOMED CT
174961003,255231005,Revision status,SNOMED CT
174962005,255231005,Revision status,SNOMED CT
174963000,255231005,Revision status,SNOMED CT
174964006,255231005,Revision status,SNOMED CT
174965007,255231005,Revision status,SNOMED CT
175036008,255231005,Revision status,SNOMED CT
175037004,255231005,Revision status,SNOMED CT
175038009,255231005,Revision status,SNOMED CT
175039001,255231005,Revision status,SNOMED CT
175040004,255231005,Revision status,SNOMED CT
175041000,255231005,Revision status,SNOMED CT
175042007,255231005,Revision status,SNOMED CT
175043002,255231005,Revision status,SNOMED CT
175044008,255231005,Revision status,SNOMED CT
175137001,255231005,Revision status,SNOMED CT
175155005,255231005,Revision status,SNOMED CT
175214003,255231005,Revision status,SNOMED CT
175233008,255231005,Revision status,SNOMED CT
175245004,255231005,Revision status,SNOMED CT
175260001,255231005,Revision status,SNOMED CT
175331008,255231005,Revision status,SNOMED CT
175332001,255231005,Revision status,SNOMED CT
175342004,255231005,Revision status,SNOMED CT
175729002,255231005,Revision status,SNOMED CT
175730007,255231005,Revision status,SNOMED CT
175731006,255231005,Revision status,SNOMED CT
175732004,255231005,Revision status,SNOMED CT
175733009,255231005,Revision status,SNOMED CT
175734003,255231005,Revision status,SNOMED CT
175735002,255231005,Revision status,SNOMED CT
175819004,255231005,Revision status,SNOMED CT
175930000,255231005,Revision status,SNOMED CT
175993001,2603003,Revision status,SNOMED CT
175993001,255231005,Revision status,SNOMED CT
175999002,255231005,Revision status,SNOMED CT
176027001,255231005,Revision status,SNOMED CT
176192000,255231005,Revision status,SNOMED CT
176240001,255231005,Revision status,SNOMED CT
176280005,255231005,Revision status,SNOMED CT
176309005,255231005,Revision status,SNOMED CT
176553004,255231005,Revision status,SNOMED CT
176933007,255231005,Revision status,SNOMED CT
177483001,255231005,Revision status,SNOMED CT
177492003,255231005,Revision status,SNOMED CT
177549005,63161005,Revision status,SNOMED CT
177549005,261424001,Revision status,SNOMED CT
177550005,63161005,Revision status,SNOMED CT
177550005,261424001,Revision status,SNOMED CT
177551009,2603003,Revision status,SNOMED CT
177551009,255231005,Revision status,SNOMED CT
177552002,255231005,Revision status,SNOMED CT
177860007,63161005,Revision status,SNOMED CT
177860007,261424001,Revision status,SNOMED CT
177861006,63161005,Revision status,SNOMED CT
177861006,261424001,Revision status,SNOMED CT
177862004,63161005,Revision status,SNOMED CT
177862004,261424001,Revision status,SNOMED CT
177864003,63161005,Revision status,SNOMED CT
177864003,261424001,Revision status,SNOMED CT
177865002,63161005,Revision status,SNOMED CT
177865002,261424001,Revision status,SNOMED CT
177868000,63161005,Revision status,SNOMED CT
177868000,261424001,Revision status,SNOMED CT
177869008,257911001,Revision status,SNOMED CT
177870009,257911001,Revision status,SNOMED CT
177871008,257911001,Revision status,SNOMED CT
177873006,257911001,Revision status,SNOMED CT
177874000,257911001,Revision status,SNOMED CT
177876003,63161005,Revision status,SNOMED CT
177876003,261424001,Revision status,SNOMED CT
177877007,63161005,Revision status,SNOMED CT
177877007,261424001,Revision status,SNOMED CT
177879005,63161005,Revision status,SNOMED CT
177879005,261424001,Revision status,SNOMED CT
177880008,63161005,Revision status,SNOMED CT
177880008,261424001,Revision status,SNOMED CT
177881007,63161005,Revision status,SNOMED CT
177881007,261424001,Revision status,SNOMED CT
177882000,257911001,Revision status,SNOMED CT
177883005,257911001,Revision status,SNOMED CT
177884004,257911001,Revision status,SNOMED CT
177886002,257911001,Revision status,SNOMED CT
177887006,257911001,Revision status,SNOMED CT
177893003,63161005,Revision status,SNOMED CT
177893003,261424001,Revision status,SNOMED CT
177894009,63161005,Revision status,SNOMED CT
177894009,261424001,Revision status,SNOMED CT
177895005,63161005,Revision status,SNOMED CT
177895005,261424001,Revision status,SNOMED CT
177896006,63161005,Revision status,SNOMED CT
177896006,261424001,Revision status,SNOMED CT
177897002,63161005,Revision status,SNOMED CT
177897002,261424001,Revision status,SNOMED CT
177898007,63161005,Revision status,SNOMED CT
177898007,261424001,Revision status,SNOMED CT
177899004,257911001,Revision status,SNOMED CT
177900009,257911001,Revision status,SNOMED CT
177901008,257911001,Revision status,SNOMED CT
177902001,257911001,Revision status,SNOMED CT
177904000,257911001,Revision status,SNOMED CT
177905004,257911001,Revision status,SNOMED CT
177916006,255231005,Revision status,SNOMED CT
177956008,255231005,Revision status,SNOMED CT
177957004,255231005,Revision status,SNOMED CT
178050002,255231005,Revision status,SNOMED CT
178052005,255231005,Revision status,SNOMED CT
178111003,255231005,Revision status,SNOMED CT
178112005,255231005,Revision status,SNOMED CT
178113000,255231005,Revision status,SNOMED CT
178114006,255231005,Revision status,SNOMED CT
178115007,255231005,Revision status,SNOMED CT
178116008,255231005,Revision status,SNOMED CT
178117004,255231005,Revision status,SNOMED CT
178118009,255231005,Revision status,SNOMED CT
178161007,63161005,Revision status,SNOMED CT
178161007,261424001,Revision status,SNOMED CT
178165003,63161005,Revision status,SNOMED CT
178165003,261424001,Revision status,SNOMED CT
178166002,63161005,Revision status,SNOMED CT
178166002,261424001,Revision status,SNOMED CT
178167006,63161005,Revision status,SNOMED CT
178167006,261424001,Revision status,SNOMED CT
178168001,63161005,Revision status,SNOMED CT
178168001,261424001,Revision status,SNOMED CT
178169009,63161005,Revision status,SNOMED CT
178169009,261424001,Revision status,SNOMED CT
178170005,63161005,Revision status,SNOMED CT
178170005,261424001,Revision status,SNOMED CT
178171009,63161005,Revision status,SNOMED CT
178171009,261424001,Revision status,SNOMED CT
178172002,63161005,Revision status,SNOMED CT
178172002,261424001,Revision status,SNOMED CT
178185004,63161005,Revision status,SNOMED CT
178185004,261424001,Revision status,SNOMED CT
178186003,255231005,Revision status,SNOMED CT
178517008,63161005,Revision status,SNOMED CT
178517008,261424001,Revision status,SNOMED CT
178518003,63161005,Revision status,SNOMED CT
178518003,261424001,Revision status,SNOMED CT
178520000,63161005,Revision status,SNOMED CT
178520000,261424001,Revision status,SNOMED CT
178523003,63161005,Revision status,SNOMED CT
178523003,261424001,Revision status,SNOMED CT
178524009,63161005,Revision status,SNOMED CT
178524009,261424001,Revision status,SNOMED CT
178525005,63161005,Revision status,SNOMED CT
178525005,261424001,Revision status,SNOMED CT
178526006,63161005,Revision status,SNOMED CT
178526006,261424001,Revision status,SNOMED CT
178528007,63161005,Revision status,SNOMED CT
178528007,261424001,Revision status,SNOMED CT
178529004,63161005,Revision status,SNOMED CT
178529004,261424001,Revision status,SNOMED CT
178530009,255231005,Revision status,SNOMED CT
178531008,255231005,Revision status,SNOMED CT
178532001,255231005,Revision status,SNOMED CT
178533006,255231005,Revision status,SNOMED CT
178534000,255231005,Revision status,SNOMED CT
178535004,255231005,Revision status,SNOMED CT
178536003,255231005,Revision status,SNOMED CT
178537007,255231005,Revision status,SNOMED CT
178538002,255231005,Revision status,SNOMED CT
178539005,255231005,Revision status,SNOMED CT
178540007,255231005,Revision status,SNOMED CT
178541006,63161005,Revision status,SNOMED CT
178541006,261424001,Revision status,SNOMED CT
178546001,255231005,Revision status,SNOMED CT
178550008,63161005,Revision status,SNOMED CT
178550008,261424001,Revision status,SNOMED CT
178551007,63161005,Revision status,SNOMED CT
178551007,261424001,Revision status,SNOMED CT
178552000,261424001,Revision status,SNOMED CT
178553005,63161005,Revision status,SNOMED CT
178553005,261424001,Revision status,SNOMED CT
178554004,63161005,Revision status,SNOMED CT
178554004,261424001,Revision status,SNOMED CT
178555003,63161005,Revision status,SNOMED CT
178555003,261424001,Revision status,SNOMED CT
178556002,63161005,Revision status,SNOMED CT
178556002,261424001,Revision status,SNOMED CT
178557006,63161005,Revision status,SNOMED CT
178557006,261424001,Revision status,SNOMED CT
178558001,63161005,Revision status,SNOMED CT
178558001,261424001,Revision status,SNOMED CT
178563002,261424001,Revision status,SNOMED CT
178564008,261424001,Revision status,SNOMED CT
178565009,63161005,Revision status,SNOMED CT
178565009,261424001,Revision status,SNOMED CT
178566005,63161005,Revision status,SNOMED CT
178566005,261424001,Revision status,SNOMED CT
178567001,255231005,Revision status,SNOMED CT
178568006,255231005,Revision status,SNOMED CT
178569003,255231005,Revision status,SNOMED CT
178570002,255231005,Revision status,SNOMED CT
178571003,255231005,Revision status,SNOMED CT
178572005,255231005,Revision status,SNOMED CT
178573000,255231005,Revision status,SNOMED CT
178574006,255231005,Revision status,SNOMED CT
178575007,255231005,Revision status,SNOMED CT
178576008,255231005,Revision status,SNOMED CT
178578009,255231005,Revision status,SNOMED CT
178580003,255231005,Revision status,SNOMED CT
178581004,255231005,Revision status,SNOMED CT
178582006,255231005,Revision status,SNOMED CT
178583001,63161005,Revision status,SNOMED CT
178583001,261424001,Revision status,SNOMED CT
178584007,63161005,Revision status,SNOMED CT
178584007,261424001,Revision status,SNOMED CT
178585008,63161005,Revision status,SNOMED CT
178585008,261424001,Revision status,SNOMED CT
178586009,63161005,Revision status,SNOMED CT
178586009,261424001,Revision status,SNOMED CT
178587000,63161005,Revision status,SNOMED CT
178587000,261424001,Revision status,SNOMED CT
178588005,63161005,Revision status,SNOMED CT
178588005,261424001,Revision status,SNOMED CT
178589002,63161005,Revision status,SNOMED CT
178589002,261424001,Revision status,SNOMED CT
178590006,255231005,Revision status,SNOMED CT
178591005,255231005,Revision status,SNOMED CT
178592003,255231005,Revision status,SNOMED CT
178593008,255231005,Revision status,SNOMED CT
