sourceId,destinationId,relationship_type,source_system_name
456004,66739002,Surgical approach,SNOMED CT
543008,260555000,Surgical approach,SNOMED CT
2567009,129220005,Surgical approach,SNOMED CT
2673004,129221009,Surgical approach,SNOMED CT
2945004,30675005,Surgical approach,SNOMED CT
3498003,112237001,Surgical approach,SNOMED CT
3700004,129222002,Surgical approach,SNOMED CT
3881006,129221009,Surgical approach,SNOMED CT
4293000,66739002,Surgical approach,SNOMED CT
4336007,261043007,Surgical approach,SNOMED CT
4341004,51853008,Surgical approach,SNOMED CT
4420006,360190002,Surgical approach,SNOMED CT
4558008,83037006,Surgical approach,SNOMED CT
4640005,66739002,Surgical approach,SNOMED CT
5393006,54846000,Surgical approach,SNOMED CT
6005008,83037006,Surgical approach,SNOMED CT
6567006,103386002,Surgical approach,SNOMED CT
6567006,261449002,Surgical approach,SNOMED CT
6726004,66739002,Surgical approach,SNOMED CT
6759001,41242001,Surgical approach,SNOMED CT
7105001,83037006,Surgical approach,SNOMED CT
7218004,66739002,Surgical approach,SNOMED CT
8192007,54300008,Surgical approach,SNOMED CT
8500004,43646003,Surgical approach,SNOMED CT
8782006,32346001,Surgical approach,SNOMED CT
8891002,83037006,Surgical approach,SNOMED CT
9102008,41242001,Surgical approach,SNOMED CT
10178000,367323001,Surgical approach,SNOMED CT
10420000,34459009,Surgical approach,SNOMED CT
11346008,66739002,Surgical approach,SNOMED CT
11626008,261043007,Surgical approach,SNOMED CT
12182009,261077002,Surgical approach,SNOMED CT
12182009,261508000,Surgical approach,SNOMED CT
12421006,41242001,Surgical approach,SNOMED CT
12644002,112238006,Surgical approach,SNOMED CT
12796008,66739002,Surgical approach,SNOMED CT
13254001,66739002,Surgical approach,SNOMED CT
13327002,129223007,Surgical approach,SNOMED CT
13433005,103382000,Surgical approach,SNOMED CT
13910004,112238006,Surgical approach,SNOMED CT
14194004,43646003,Surgical approach,SNOMED CT
14335006,41242001,Surgical approach,SNOMED CT
14400005,83037006,Surgical approach,SNOMED CT
14599002,66739002,Surgical approach,SNOMED CT
14622006,310807005,Surgical approach,SNOMED CT
15023006,310807005,Surgical approach,SNOMED CT
15068003,118438002,Surgical approach,SNOMED CT
15068003,261099005,Surgical approach,SNOMED CT
15256002,311995003,Surgical approach,SNOMED CT
15465006,66739002,Surgical approach,SNOMED CT
15918009,54300008,Surgical approach,SNOMED CT
15918009,103344008,Surgical approach,SNOMED CT
16079003,261043007,Surgical approach,SNOMED CT
16697005,129221009,Surgical approach,SNOMED CT
17049002,41242001,Surgical approach,SNOMED CT
17596000,118438002,Surgical approach,SNOMED CT
17632005,83037006,Surgical approach,SNOMED CT
17671008,83037006,Surgical approach,SNOMED CT
18008000,54300008,Surgical approach,SNOMED CT
18476009,129222002,Surgical approach,SNOMED CT
19149007,45711004,Surgical approach,SNOMED CT
19740002,367323001,Surgical approach,SNOMED CT
20559007,83037006,Surgical approach,SNOMED CT
20621008,41242001,Surgical approach,SNOMED CT
20820007,118438002,Surgical approach,SNOMED CT
21190008,30675005,Surgical approach,SNOMED CT
21190008,103344008,Surgical approach,SNOMED CT
21213001,310807005,Surgical approach,SNOMED CT
21335006,260617000,Surgical approach,SNOMED CT
21400005,66739002,Surgical approach,SNOMED CT
21537002,54846000,Surgical approach,SNOMED CT
22213003,54300008,Surgical approach,SNOMED CT
22241004,57257006,Surgical approach,SNOMED CT
22793001,83037006,Surgical approach,SNOMED CT
23167008,41242001,Surgical approach,SNOMED CT
23598001,112238006,Surgical approach,SNOMED CT
23676000,112237001,Surgical approach,SNOMED CT
24293001,66739002,Surgical approach,SNOMED CT
25196007,261043007,Surgical approach,SNOMED CT
26732005,66739002,Surgical approach,SNOMED CT
26993008,66739002,Surgical approach,SNOMED CT
27150000,129225000,Surgical approach,SNOMED CT
27185000,54300008,Surgical approach,SNOMED CT
27413006,66739002,Surgical approach,SNOMED CT
27537008,129221009,Surgical approach,SNOMED CT
28579000,45711004,Surgical approach,SNOMED CT
28644007,54300008,Surgical approach,SNOMED CT
28658009,40186009,Surgical approach,SNOMED CT
28813001,360190002,Surgical approach,SNOMED CT
28981008,310807005,Surgical approach,SNOMED CT
29013009,118438002,Surgical approach,SNOMED CT
29205000,32346001,Surgical approach,SNOMED CT
30160001,54300008,Surgical approach,SNOMED CT
31130001,66739002,Surgical approach,SNOMED CT
31221000,41242001,Surgical approach,SNOMED CT
31461001,41242001,Surgical approach,SNOMED CT
31705006,112238006,Surgical approach,SNOMED CT
31858006,118438002,Surgical approach,SNOMED CT
31994009,118438002,Surgical approach,SNOMED CT
31994009,261099005,Surgical approach,SNOMED CT
32044008,66739002,Surgical approach,SNOMED CT
32419005,310807005,Surgical approach,SNOMED CT
32597005,41242001,Surgical approach,SNOMED CT
32918006,41242001,Surgical approach,SNOMED CT
33507007,129223007,Surgical approach,SNOMED CT
33939007,260617000,Surgical approach,SNOMED CT
34233009,41242001,Surgical approach,SNOMED CT
34238000,112238006,Surgical approach,SNOMED CT
35129004,41242001,Surgical approach,SNOMED CT
35955002,54300008,Surgical approach,SNOMED CT
36192008,66739002,Surgical approach,SNOMED CT
36253005,30675005,Surgical approach,SNOMED CT
37011005,66739002,Surgical approach,SNOMED CT
37012003,129226004,Surgical approach,SNOMED CT
37851009,32346001,Surgical approach,SNOMED CT
37945000,310807005,Surgical approach,SNOMED CT
38179002,65519007,Surgical approach,SNOMED CT
38535009,129221009,Surgical approach,SNOMED CT
39083009,41242001,Surgical approach,SNOMED CT
39655008,41242001,Surgical approach,SNOMED CT
40051009,41242001,Surgical approach,SNOMED CT
40543003,40186009,Surgical approach,SNOMED CT
41058005,66739002,Surgical approach,SNOMED CT
41059002,66739002,Surgical approach,SNOMED CT
41200003,32346001,Surgical approach,SNOMED CT
41371003,32346001,Surgical approach,SNOMED CT
41406006,416139006,Surgical approach,SNOMED CT
41416003,45711004,Surgical approach,SNOMED CT
41566006,54300008,Surgical approach,SNOMED CT
41811001,260633002,Surgical approach,SNOMED CT
42227002,129223007,Surgical approach,SNOMED CT
42316002,260622000,Surgical approach,SNOMED CT
43002007,54846000,Surgical approach,SNOMED CT
43582002,83037006,Surgical approach,SNOMED CT
43791001,54300008,Surgical approach,SNOMED CT
44751009,66739002,Surgical approach,SNOMED CT
46082001,34459009,Surgical approach,SNOMED CT
46295004,261043007,Surgical approach,SNOMED CT
46426006,367323001,Surgical approach,SNOMED CT
46681009,66739002,Surgical approach,SNOMED CT
46790005,34459009,Surgical approach,SNOMED CT
46936007,41242001,Surgical approach,SNOMED CT
47159006,41242001,Surgical approach,SNOMED CT
47234008,310807005,Surgical approach,SNOMED CT
47285000,260617000,Surgical approach,SNOMED CT
48222002,54300008,Surgical approach,SNOMED CT
50518004,112238006,Surgical approach,SNOMED CT
51158001,261449002,Surgical approach,SNOMED CT
51408001,129223007,Surgical approach,SNOMED CT
51421008,57257006,Surgical approach,SNOMED CT
51994001,129223007,Surgical approach,SNOMED CT
52917009,66739002,Surgical approach,SNOMED CT
52932002,54300008,Surgical approach,SNOMED CT
53698007,83037006,Surgical approach,SNOMED CT
54273007,310807005,Surgical approach,SNOMED CT
54303005,112238006,Surgical approach,SNOMED CT
54303005,180612003,Surgical approach,SNOMED CT
54490004,54300008,Surgical approach,SNOMED CT
55622001,264237001,Surgical approach,SNOMED CT
55872002,41242001,Surgical approach,SNOMED CT
55966001,261043007,Surgical approach,SNOMED CT
56371009,32346001,Surgical approach,SNOMED CT
56646001,57257006,Surgical approach,SNOMED CT
56782003,310807005,Surgical approach,SNOMED CT
57271003,311998001,Surgical approach,SNOMED CT
57525009,32346001,Surgical approach,SNOMED CT
58622000,261449002,Surgical approach,SNOMED CT
59703009,83037006,Surgical approach,SNOMED CT
59710003,129228003,Surgical approach,SNOMED CT
60660006,260622000,Surgical approach,SNOMED CT
60954008,310807005,Surgical approach,SNOMED CT
61235005,41242001,Surgical approach,SNOMED CT
62118003,261449002,Surgical approach,SNOMED CT
62163002,54300008,Surgical approach,SNOMED CT
62220006,30675005,Surgical approach,SNOMED CT
62755007,310807005,Surgical approach,SNOMED CT
62783009,129230001,Surgical approach,SNOMED CT
63314003,54846000,Surgical approach,SNOMED CT
63372007,66739002,Surgical approach,SNOMED CT
63382008,41242001,Surgical approach,SNOMED CT
