TOSPCD,TOSPDSC
SP835U,"UTERUS, PREGNANCY, CAESAREAN SECTION WITH HYSTERECTOMY"
SP836U,"UTERUS, PREGNANCY, VAGINAL DELIVERY (WITH OR WITHOUT EPISIOTOMY REPAIR)"
SP844U,"UTERUS, PREGNANCY, COMPLICATED CAESAREAN SECTION (SEE FOOTNOTE FOR DEFINITION OF 'COMPLICATED')"
SP845U,"UTERUS, PREGNANCY AND MULTIPARITY, COMPLICATED CAESAREAN SECTION AND TUBAL LIGATION"
SJ700A,"ADRENAL, VARIOUS LESIONS, ADRENAL VENOUS SAMPLING"
SJ800A,"ADRENALS, VARIOUS LESIONS, BIOPSY/EXCISION (OPEN OR LAP)"
SJ701P,"PITUITARY, VARIOUS LESIONS, TRANSPHENOIDAL/TRANSEPTAL EXCISION WITH/WITHOUT GRAFTING (OPEN/MIS)"
SJ800P,"PARATHYROID, VARIOUS LESIONS, EXCISION"
SJ801P,"PARATHYROID, VARIOUS LESIONS, RE EXPLORATION"
SJ700T,"THYROID, VARIOUS LESIONS, NEEDLE BIOPSY"
SJ701T,"THYROID, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS ASPIRATION/BIOPSY"
SJ702T,"THYROID, VARIOUS LESIONS, TOTAL THYROIDECTOMY, COMPLEX (RECURRENCE), WITH/WITHOUT STERNAL SPLIT"
SJ703T,"THYROID, VARIOUS LESIONS, TOTAL/SUBTOTAL THYROIDECTOMY WITH NECK DISSECTION (BILATERAL)"
SJ800T,"THYROGLOSSAL DUCT, CYST FISTULA, EXCISION"
SJ801T,"THYROID, TUMOR, EXCISION"
SJ802T,"THYROID, VARIOUS LESIONS, HEMITHYROIDECTOMY/PARTIAL THYROIDECTOMY"
SJ803T,"THYROID, VARIOUS LESIONS, TOTAL/SUBTOTAL THYROIDECTOMY"
SJ804T,"THYROID, VARIOUS LESIONS, TOTAL/SUBTOTAL THYROIDECTOMY WITH NECK DISSECTION (UNILATERAL)"
SK700A,"ARTERY, CAROTICO-CAVERNOUS FISTULA, EMBOLISATION"
SK701A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, BALLOON TEST OCCLUSION"
SK702A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, DIAGNOSTIC EXTRACRANIAL ANGIOGRAPHY"
SK703A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, INFUSION"
SK704A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSCATHETER EMBOLIZATION"
SK705A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY"
SK706A,"ARTERY, EXTRACRANIAL, VARIOUS LESIONS, STENTING"
