atom_id,source_code
A0662173,35511
A32350611,14041
A32367755,0602T
A32355224,26720
A32359596,27681
A19995735,49215
A24207302,35180
A32358420,81253
A19995090,63191
A27405824,31587
A34771270,0684T
A32358588,82077
A23573020,29822
A19993502,58950
A4864113,53430
A32359071,99387
A21039577,27326
A21034163,45400
A21048514,27637
A7160457,45391
A32361933,34201
A32351655,64463
A23570119,1020929
A1414575,21407
A28578341,94618
A32355923,63090
A0676187,27080
A1414529,27333
A25755946,90744
A32363762,19368
A21033851,33244
A23575627,1007986
A15886868,28264
A23568212,1004327
A23569254,1020191
A32362678,78451
A4851389,83550
A24206512,35045
A11000992,35501
A19995668,38200
A19995003,51880
A19995791,56800
A4859405,21100
A23569607,21208
A34774665,37600
A32365490,99337
A15886369,23125
A18513096,96405
A15885674,11201
A18512969,64744
A21040562,01320
A1414494,28705
A21038125,58976
A27405331,A2
A21038671,84081
A18512523,42953
A29929286,0012M
A17110725,57426
A32362403,63044
A32351835,78071
A24212571,64617
A21049876,87650
A15885232,65710
A18512107,44227
A13077057,0106T
A21060017,47420
A31178927,0557T
A29929044,0019U
A28578535,1031022
A32354543,90959
A32357438,27634
A19995928,73590
A21052053,24500
A21054070,95924
A23576911,22326
A23572945,27256
A34774102,33226
A1750970,80069
A0680239,82530
A21033163,00794
A28577541,32998
A32358363,78832
A15885941,24136
A23575021,28190
A23576311,81382
A32362087,38221
A34767673,16030
A34770244,0712T
A32355071,19281
A32362454,63301
A19991995,55040
A24209257,73590
A29929576,0043U
A32352928,17314
A0809194,61575
A21051261,69433
A0014006,82507
A0690336,42300
A34771384,26035
A32359191,11622
A18512702,95800
A21060219,57270
A4851788,52500
A4858999,26445
A21037968,50570
A21060963,88305
A34767488,87449
A32359122,01710
A15887347,30310
A25756375,35400
A32364726,76496
A34775227,35141
A34769570,78492
A34767991,78494
A19991855,35508
A32365903,21183
A32357451,27829
A32360057,51520
A0769018,56700
A19997325,53665
A25756305,1008169
A34769750,11402
A34772480,33315
A34770620,80503
A21052389,33050
A32367291,87525
A21056560,58800
A32353416,38300
A23579720,1006917
A2059681,35686
A17110580,21932
A32350814,21026
A32351998,81404
A32367336,88366
A1746543,93990
A1749521,43641
A8576213,46045
A21052692,44316
A4861244,50065
A13079303,92025
A34772782,92071
A32358998,97802
A32351097,34111
A32358348,78803
A19997489,74430
A21039331,92317
A0808968,64732
A24211541,35860
A21032102,21240
A21032374,35281
A27405436,97166
A3859606,87275
A34767252,35633
A1414535,88166
A1745831,80400
A21047694,81310
A4953813,51702
A32365196,0146U
A2059518,00851
A19994459,82274
A29928624,81212
A0644893,01470
A24212173,00848
A31178828,0077U
A32366948,78831
A0682547,52270
A0935811,85335
A34774039,26485
A19994235,52305
A21052287,29085
A21053261,67141
A21037429,28570
A28577737,34833
A21053502,83945
A21039176,70559
A17110892,92570
A32360273,64483
A32362669,78429
A18513864,88029
A24209649,01770
A17110857,1101F
A34769868,33267
A34767531,90694
A32365868,19082
A32367268,87276
A19993100,6100F
A32366996,80415
A1748626,25125
A27405453,1027646
A19993715,83631
A34774849,74330
A34772172,82653
A32351150,35001
A32360658,81405
A1414733,26479
A25756339,99177
A34774847,72200
A31180013,0578T
A32367551,93622
A32357574,34101
A32360245,63091
A32367034,81400
A32360679,81406
A23578022,1004573
A34768092,93596
A18512977,74740
A4850814,86890
A19995650,35372
A21043083,92944
A21060270,60545
A21034461,61108
A21060049,49425
A25756026,67107
A21049326,61619
A4858609,69511
A19997697,96900
A1750985,82977
A34774666,37650
A0013905,33945
A28578057,20939
A32358521,81405
A18515065,86215
A1414679,88230
A0644898,01712
A23573162,1007209
A24210430,93644
A25756066,54438
A2059747,17276
A21051271,70488
A4860227,68540
A0922974,93976
A1946649,77525
A11000661,33203
A28578788,36466
A32361121,96417
A32364899,81401
A32356383,81427
A19993806,92358
A1746341,59100
A24211641,56515
A21034127,44139
A27405294,1029691
A0730083,31570
A34771037,59856
A32362324,58950
A32367317,87912
A24209704,33775
A21034489,61582
A19996187,4230F
A4861159,63655
A23579740,1008152
A21041415,42205
A21033509,25250
A17110177,97034
A18513154,64714
A1751279,55550
A21034128,44140
A32355235,27071
A32357598,34706
A21038635,82415
A0707210,82805
A4858041,43118
A21056862,67880
A23570024,1010417
A25756514,91040
A15887053,96366
A19996281,33221
A34774315,76705
A19991857,35533
A21042941,82965
A15887281,25085
A19993270,23700
A4852630,44376
A13076788,23615
A27405607,27198
A4863035,64858
A21049512,66820
A34769862,33050
A32358440,81364
A11000446,52318
A11000364,77014
A4858370,40810
A32359674,31781
A21060304,61584
A0863966,00548
A23572025,22633
A13077423,2002F
A21046639,83090
A32361376,12002
A32364037,33369
A32366868,75984
A23573172,1007438
A21039542,26455
A34772641,64886
A32366336,37760
A4857585,24155
A21032911,86331
A21033789,31237
A4856408,31575
A4858765,67255
A18515150,99308
A32354125,81357
A19995044,58540
A19994834,27138
A21032524,49321
A15886420,28008
A19995232,81262
A34770830,21510
A34774696,44125
A0680827,82553
A32356346,81406
A0783570,35241
A15885752,4210F
A23574607,28496
A34773924,0699T
A21046689,99336
A18512062,29916
A19993687,81294
A32363173,90912
A32356795,95991
A32364587,64490
A32363164,90681
A4847547,33250
A32358764,0140U
A21036601,86706
A28577600,74019
A15885274,99475
A32359562,27059
A32364116,35002
A32364520,63017
A1414509,26100
A18513144,37225
A34775324,56633
A34769452,57020
A18514349,99309
A24209116,58615
A21045626,61595
A19996680,69150
A23580631,19283
A19997267,46505
A21044769,27097
A4863655,99082
A0644865,01502
A17110489,64835
A21049185,55400
A23570847,1013840
A23577079,28107
A34768714,00102
A21046773,85292
A21038678,84302
A21042677,94200
A24209001,35883
A21044589,23420
A15887390,0518F
A34769766,21076
A34767800,34812
A34768948,53420
A8578059,49255
A29928987,20933
A32361014,92978
A32357541,33746
A32359739,34151
A4863057,61880
A8583949,43352
A21040865,23615
A21057160,87101
A21051941,20912
A7159968,78268
A19997120,21933
A32361986,35082
A32356629,90836
A0752208,64890
A32360789,86891
A21045458,52214
A27406030,1014989
A23568386,1014877
A34774502,10010
A34767516,90399
A32354642,95970
A0752488,64721
A15886610,3274F
A13078246,0109T
A34773560,32651
A32365328,93248
A0661897,61253
A24210109,71101
A21037917,49412
A21033827,31825
A18513423,86063
A11001579,76813
A34773857,92977
A23576508,1010938
A32357666,36216
A32351802,76856
A32362980,86813
A24208716,83633
A19996640,63308
A32350678,15260
A32358273,75801
A32351977,81403
A19996730,78099
A2059667,44322
A4851561,27614
A24207393,51741
A32358422,81267
A21056527,56700
A34768731,13132
A32364398,52007
A23580827,10040
A4864225,50610
A32360324,68505
A34770429,35600
A34773376,95971
A32351090,34001
A32354027,78481
A0646991,29131
A17111380,61531
A21056370,49451
A1056388,68811
A23577894,28102
A34770787,00880
A32356884,99310
A32363819,22864
A21050457,35671
A7160471,11006
A21048972,44390
A18514834,0220T
A28578308,81334
A28578550,0487T
A32366461,47534
A32364423,54161
A32358077,63082
A0702357,85410
A19992975,87086
A21050485,81322
A21038225,61616
A34773049,36823
A18512667,90396
A32351425,49205
A32367190,82642
A18512708,95962
A21056384,49605
A23570446,23140
A32365454,1036182
A34768241,23525
A32350615,14041
A28577855,0497T
A32352945,19357
A32366481,49450
A32358529,81405
A0723575,64530
A21035146,90471
A19995036,57283
A23573016,29015
A19995514,81261
A25756322,81435
A21045139,39010
A31180525,0545T
A32365924,21935
A32351884,80047
A2407237,74160
A0644899,00164
A34774917,0246U
A34774229,55970
A0723564,51610
A19994840,27332
A21054665,46604
A27405748,4151F
A15886233,4201F
A21044062,86723
A31178492,66982
A31178780,78800
A32361524,17260
A32356856,1036194
A32351162,35021
A32358222,72120
A32356356,81406
A1414569,88140
A34775204,33508
A34768947,53265
A0698265,15934
A29929160,76982
A32350736,17280
A32362949,85347
A4849764,61598
A21037479,31512
A23570887,1020186
A34772133,69719
A34774531,21610
A34771075,65235
A1751122,58520
A0784125,32900
A32363217,92978
A32366303,36575
A1414740,27658
A4847656,53040
A34770535,59614
A32360989,91299
A8577460,47350
A21046261,88307
A11000678,58294
A21049819,86480
A34772518,43121
A32362478,64483
A18512418,00160
A32367699,99335
A32361143,97164
A32356773,95824
A32355508,36595
A8580515,99060
A34773666,52351
A32355699,50405
A21039424,19307
A13077577,96125
A0770210,28456
A27405135,AO
A34770668,0237U
A32366150,33534
A32359802,35081
A21037440,29055
A19996447,35903
A1946410,93662
A21035633,33365
A19992389,32096
A34773408,0683T
A32361313,11046
A31179087,0062U
A28577612,81175
A29929172,81184
A21048441,27147
A19996566,55725
A21050280,27600
A24207041,80361
A19995875,64822
A34767917,63048
A29929998,93288
A32360102,54316
A32352008,81405
A2059507,59000
A4847699,82009
A4860686,85999
A0641309,94642
A23579829,4050F
A4917866,50546
A32352566,99325
A32355610,43286
A4953853,72159
A8577458,47361
A34771251,97171
A28578309,81335
A1747173,86707
A32363658,15275
A32355489,36245
